
289	0.157	2	task-3:0.27	task-0:0.374	task-1:0.356	task-2:0.298	|	0.0553001	0.0552483	0.0550979	0.0547749	0.0542055	0.0535226	0.0535205	0.0539734	0.0532628	0.0532449	0.05321	0.0531622	0.0530896	0.0529746	0.0531007	0.0540913	0.0528568	0.0528553	0.0526254	0.0524432	0.0519234	0.0507926	0.0486561	0.047123	0.0487034	0.0454191	0.044894	0.0444505	0.0435281	0.0417328	0.0386185	0.0431516	0.0461279	0.035648	0.0352796	0.03501	0.034751	0.0343284	0.0335473	0.0323982	0.0316736	0.0445765	0.0314757	0.0313851	0.031201	0.0308739	0.0304392	0.0299895	0.0297096	0.0296089	0.0294354	0.029296	0.029015	0.0284937	0.0277155	0.0314833	0.0275986	0.0275553	0.0274432	0.0272242	0.0268861	0.0266853	0.0266192	0.026521	0.0264698	0.0264098	0.0262854	0.0260893	0.0259006	0.02582	0.0256509	0.0255792	0.0254812	0.0253258	0.0251205	0.0247253	0.0244183	0.026241	0.0241101	0.024057	0.0240041	0.0239428	0.0238454	0.0236787	0.0235773	0.023644	0.0234836	0.0234637	0.0234242	0.0233563	0.023253	0.0230755	0.0228569	0.0228911	0.0227754	0.0227531	0.0227104	0.0226582	0.0225599	0.0224525	0.0223855	0.0223825	0.0223612	0.0223326	0.0223083	0.0222629	0.0222042	0.0220839	0.0218926	0.0218655	0.0217558	0.0217112	0.0216964	0.0216774	0.0216376	0.0215674	0.021512	0.0214871	0.0214414	0.0213916	0.0212855	0.0210714	0.0207311	0.0218553	0.0206653	0.0206427	0.0206041	0.0205747	0.0205216	0.0204754	0.0204569	0.0204217	0.0203865	0.0203147	0.0201834	0.0199965	0.0202246	0.0199359	0.0199168	0.0198778	0.0198262	0.0197482	0.0195905	0.0192818	0.0198595	0.019407	0.0189828	0.0189588	0.01893	0.0188699	0.0187511	0.0187103	0.0187087	0.0186033	0.0185932	0.01857	0.018521	0.0184207	0.0182354	0.0180775	0.0186558	0.0179532	0.0179364	0.0179136	0.0178906	0.0178648	0.017816	0.0177592	0.0178905	0.0177178	0.0177086	0.0176931	0.0176607	0.0175967	0.0172979	0.0171771	0.0167106	0.0158625	0.0144562	0.0129476	

370	0.218	3	task-3:0.322	task-0:0.352	task-1:0.342	task-2:0.344	|	0.0542837	0.0541819	0.0540062	0.0539204	0.0538762	0.0538058	0.053683	0.0535658	0.0535094	0.0534552	0.053423	0.0533756	0.0533308	0.0532243	0.0531214	0.0528939	0.0524433	0.0515715	0.0500838	0.052618	0.0574233	0.0484897	0.0481731	0.0479525	0.0475797	0.0471555	0.046846	0.0466752	0.0464122	0.0462234	0.046124	0.0460205	0.0459666	0.045854	0.0457193	0.0455501	0.0454141	0.0452241	0.0450189	0.0446295	0.0438944	0.0449518	0.04369	0.0432331	0.0431842	0.0430416	0.0427269	0.0421462	0.0428667	0.0419068	0.0416086	0.0415685	0.0414622	0.0412475	0.0409986	0.0408898	0.0407752	0.0407078	0.0405577	0.0402671	0.0396819	0.0400313	0.0407998	0.0388871	0.0388338	0.0387082	0.0384487	0.038079	0.0387641	0.03796	0.0379205	0.0378363	0.0376926	0.0374652	0.0373733	0.0372963	0.0371861	0.0371443	0.0370787	0.0369402	0.0367404	0.0366019	0.0366298	0.0364389	0.0363924	0.0363237	0.0361925	0.035937	0.0359061	0.0359396	0.0355995	0.0355614	0.0354995	0.0353663	0.0350931	0.0345508	0.0335137	0.0316509	0.0460756	0.0737503	0.046497	0.0636526	0.029349	0.0293139	0.0292958	0.0292863	0.0292712	0.0292424	0.0291845	0.0291115	0.029241	0.0290879	0.0290803	0.0290635	0.0290286	0.0289353	0.0288669	0.0287635	0.0286051	0.028529	0.0283452	0.0279703	0.0275174	0.028851	0.0273464	0.0272967	0.0271858	0.0269599	0.0265279	0.0267497	0.0264197	0.0260268	0.0259568	0.0258534	0.0256478	0.0252456	0.024541	0.0266101	0.0254006	0.0239036	0.0238517	0.0238284	0.0237919	0.0237178	0.0235698	0.0233301	0.0232428	0.0231401	0.0230814	0.0230543	0.0230158	0.0229371	0.0227974	0.0225158	0.0219682	0.0209496	0.0278766	0.0278626	0.0205031	0.0203391	0.0198435	0.0198105	0.019743	0.0196257	0.0194794	0.0195678	0.0194468	0.019384	0.0193741	0.0193568	0.0193197	0.0192454	0.0191182	0.0191797	0.0190505	0.0190334	0.0190213	0.0189966	0.0189488	0.0188914	0.0188295	0.0188153	0.0188025	0.0187817	0.0187687	0.0187388	0.0186802	0.0185909	0.0186075	0.0185691	0.0185571	0.018535	0.0185117	0.0184689	0.0184256	0.0184218	0.0184067	0.0183795	0.0183488	0.0183451	0.0183332	0.0183094	0.0181218	0.0178973	0.017572	0.0169538	0.0158198	0.0149934	0.0145131	0.0141975	0.0139566	

231	0.125	2	task-3:0.348	task-0:0.296	task-1:0.334	task-2:0.34	|	0.0542837	0.0541819	0.0540062	0.0539204	0.0538762	0.0538058	0.053683	0.0535658	0.0535094	0.0534552	0.053423	0.0533756	0.0533308	0.0532264	0.0531253	0.0529037	0.0524666	0.0516202	0.0502275	0.0509259	0.0600412	0.0478163	0.0476448	0.0474882	0.0471342	0.0464172	0.0451466	0.0447747	0.0599134	0.0434608	0.0435678	0.0428811	0.0428001	0.0426218	0.0423509	0.0421139	0.041958	0.0419134	0.0418316	0.0417577	0.0416487	0.0415247	0.0413881	0.0412985	0.0411094	0.0408298	0.0404149	0.0408851	0.0401819	0.0400736	0.0400497	0.0399907	0.0399154	0.0398565	0.0397988	0.0397481	0.0396707	0.0396065	0.0395039	0.0394023	0.0393187	0.0391375	0.0387655	0.0383627	0.0402409	0.0380922	0.0380447	0.0379404	0.0377262	0.0376532	0.0375592	0.0374199	0.0373792	0.0373214	0.0371996	0.0369656	0.0370385	0.0368115	0.0367363	0.0367198	0.0366936	0.0366424	0.0365805	0.0364722	0.0362939	0.0359896	0.0362402	0.0358959	0.0357085	0.0356835	0.0356409	0.0355537	0.0354134	0.0351293	0.0345968	0.0335959	0.0442259	0.0354372	0.0329435	0.0329258	0.0328849	0.0327998	0.0326357	0.0323498	0.0323046	0.0343202	0.0319377	0.0319189	0.0318777	0.0317979	0.0316701	0.0317607	0.0316426	0.031636	0.0316201	0.0315904	0.0315637	0.0315419	0.0314952	0.0310016	0.0307274	0.0296332	0.0281551	0.0265184	0.0247442	0.0248011	0.0238298	0.0234698	0.0228648	0.0220741	0.0211269	0.0202028	0.0196618	0.0191588	

191	0.094	1	task-3:0.394	task-0:0.41	task-1:0.434	task-2:0.4	|	0.0553001	0.0552483	0.0550979	0.0547749	0.0542055	0.0535226	0.0535205	0.0539734	0.0532628	0.0532449	0.05321	0.0531622	0.0530896	0.0529746	0.0531007	0.0540913	0.0528568	0.0528553	0.0526191	0.052432	0.0518987	0.0507412	0.0485636	0.0471529	0.0483551	0.0453349	0.0448144	0.0443359	0.0433203	0.0413917	0.0387566	0.0452926	0.037807	0.0375186	0.0371637	0.0368002	0.0365447	0.0359897	0.0352012	0.0350382	0.0346454	0.0344673	0.0340889	0.0333312	0.0318751	0.0292815	0.0266181	0.0638538	0.0363056	0.0849075	0.0291131	0.0703653	0.0548956	0.0314059	0.0328692	0.0248863	0.0247256	0.0243021	0.024249	0.024135	0.0239109	0.0235056	0.0234671	0.0236909	0.0230489	0.0230081	0.0229401	0.0228151	0.0226064	0.0224471	0.0233748	0.0223501	0.0223265	0.0222727	0.0221647	0.0219583	0.0216001	0.0222836	0.0214828	0.0214011	0.0213923	0.0213688	0.0213159	0.0212102	0.0210281	0.0209542	0.0210011	0.020769	0.0207454	0.0206955	0.020616	0.020519	0.0204301	0.0204086	0.0203803	0.0203508	0.0203329	0.0202974	0.0202553	0.0201691	0.0200026	0.0198379	0.0203183	0.0197273	0.019708	0.0196665	0.0195841	0.0194194	0.0191276	0.0198985	0.0190217	0.0189886	0.0189819	0.0189668	0.018934	0.0188666	0.0187408	0.0184911	0.0186209	

296	0.156	2	task-3:0.352	task-0:0.404	task-1:0.402	task-2:0.368	|	0.0553001	0.0552483	0.0550979	0.0547749	0.0542055	0.0535226	0.0535205	0.0539734	0.0532628	0.0532449	0.05321	0.0531622	0.0530896	0.0529746	0.0531007	0.0540913	0.0528568	0.0528553	0.0526119	0.0524197	0.0518721	0.0506855	0.0484598	0.0471058	0.0480785	0.0452056	0.0446834	0.0441876	0.0431345	0.0411037	0.0376096	0.0422197	0.0514755	0.035424	0.0404828	0.0334602	0.0332985	0.032949	0.0322607	0.0310352	0.0295718	0.0478383	0.0290874	0.0289596	0.0288116	0.0285064	0.0279167	0.0268707	0.0274515	0.0367482	0.0253567	0.0252951	0.0251675	0.0249388	0.0245124	0.0241201	0.0283539	0.023724	0.0236764	0.0235749	0.0233727	0.0229974	0.0223632	0.0234994	0.0234684	0.0216508	0.0216081	0.0215673	0.0215314	0.0214547	0.021313	0.0212613	0.02136	0.0211357	0.0211153	0.0210752	0.0209953	0.0208453	0.0207817	0.0207146	0.0206792	0.0206613	0.0206397	0.0205937	0.0205038	0.0204124	0.0203689	0.0203548	0.020329	0.0202963	0.0202589	0.0202235	0.0201732	0.0200915	0.0199927	0.0199754	0.0199503	0.0199264	0.0198827	0.0198454	0.0198112	0.0197421	0.0196117	0.0195273	0.0196387	0.019373	0.0193524	0.0193089	0.019225	0.0190594	0.0188305	0.0197754	0.0187598	0.0187436	0.0187085	0.0186394	0.0185711	0.0185643	0.0185325	0.018516	0.0184869	0.0184308	0.0183193	0.018173	0.0184484	0.0181327	0.0181192	0.0180917	0.0180576	0.017995	0.0179778	0.0179629	0.0179537	0.0179356	0.0178986	0.0178426	0.0178756	0.0178148	0.017806	0.0177856	0.0177477	0.0176736	0.0175797	0.0175773	0.0175476	0.0175398	0.0175236	0.0175005	0.0174563	0.0174107	0.0173875	0.0173841	0.0173737	0.0173568	0.0173393	0.017324	0.0172927	0.017066	0.0169551	0.0165555	0.0159096	
