108	0.063	1	0	task-3:0.454	task-0:0.142	task-1:0.088	task-2:0.45	|	0.0556615	0.0550596	0.0542832	0.0540522	0.053665	0.0532893	0.0531296	0.0530419	0.053018	0.0529771	0.0529366	0.0530384	0.0529285	0.0529246	0.0529165	0.0529001	0.0528712	0.0528965	0.0530002	0.0519638	0.0506915	0.0472657	0.041179	0.0344395	0.0319332	0.0307107	0.029283	0.0265063	0.0218203	0.0166165	0.01887	0.0157431	0.0127875	0.011916	0.0118122	0.01161	0.0111896	0.0106295	0.0100222	0.00914631	0.00766906	0.00595282	0.00531605	0.00526946	0.00402049	0.00385068	0.00366807	0.00342263	0.00305864	0.00265712	0.002443	
113	0.062	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.046	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.046	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

113	0.047	1	0	task-3:0.45	task-0:0.104	task-1:0.07	task-2:0.436	|	0.060435	0.058146	0.0545952	0.0544208	0.0543083	0.0541035	0.0539096	0.0538016	0.053788	0.0537511	0.0537007	0.0536618	0.0535767	0.0534258	0.0533992	0.0533488	0.0532503	0.0532319	0.0532002	0.0531362	0.0530244	0.0528856	0.0557853	0.0528752	0.0528707	0.0528627	0.0528491	0.0528348	0.0529376	0.052848	0.0528255	0.0528251	0.0528241	0.052822	0.0528183	0.0528162	0.0523448	0.0516295	0.0496777	0.0460685	0.0418395	0.0396504	0.0376243	0.0349036	0.0307567	0.0241859	0.0168484	0.0455924	0.0152296	0.0148718	0.0142354	0.0130482	0.0112666	0.00870614	0.0257743	0.0082621	0.00819841	0.00809738	0.00795847	0.00787252	0.00770448	0.00737139	0.00674708	0.0056753	0.00410377	0.012665	0.0393341	0.00369508	0.00328822	0.00295828	0.00291564	0.00282723	0.00265834	0.00236326	

92	0.047	1	0	task-3:0.458	task-0:0.148	task-1:0.112	task-2:0.47	|	0.0535367	0.0534242	0.0532976	0.0532458	0.0531476	0.0530084	0.0529246	0.0538477	0.052908	0.0529067	0.0529037	0.0528974	0.0528879	0.0520116	0.0507176	0.0472822	0.0412949	0.0347096	0.0307282	0.0293009	0.0278302	0.0247793	0.019231	0.0134671	0.0129276	0.0130134	0.0115484	0.0107042	0.00974516	0.00920725	0.00850354	0.0072695	0.00545388	0.00356932	0.00308439	0.00400336	0.00219707	

