6	0.001	0	0	task-0:0.04	|	0.278615	0.147098	0.0386076	0.0156007	0.00504944	0.00277927	0.00147402	
4	0.001	0	0	task-0:0.02	|	0.263412	0.100254	0.0528354	0.0122158	0.0020673	

5	0.001	0	0	task-0:0.01	|	0.197949	0.188892	0.0159089	0.0102003	0.00387325	0.0016401	

5	0.001	0	0	task-0:0.04	|	0.283691	0.209794	0.0201701	0.0109071	0.00429856	0.00232323	

4	0.001	0	0	task-0:0.02	|	0.220109	0.0757069	0.0411069	0.0130326	0.00202357	

4	0.001	0	0	task-0:0.025	|	0.203208	0.0986986	0.0479921	0.013435	0.00249012	

3	0	0	0	task-0:0.075	|	0.283821	0.138074	0.0985669	0.00212292	

5	0	0	0	task-0:0.06	|	0.243825	0.172947	0.025306	0.0110278	0.00288856	0.00203493	

5	0	0	0	task-0:0.035	|	0.182864	0.152014	0.0231769	0.0108847	0.00330659	0.00224432	

4	0	0	0	task-0:0.015	|	0.224104	0.0745221	0.0414367	0.0120067	0.00203591	

4	0.001	0	0	task-0:0.015	|	0.421703	0.139852	0.0607182	0.0136343	0.00222028	

4	0.001	0	0	task-0:0.005	|	0.287382	0.085021	0.0542787	0.0134671	0.00208552	

5	0.001	0	0	task-0:0.01	|	0.192531	0.061569	0.0168312	0.00780631	0.00327995	0.000898203	

5	0.001	0	0	task-0:0.025	|	0.247488	0.214263	0.0121883	0.00824046	0.00307055	0.00121207	

4	0.001	0	0	task-0:0.015	|	0.308379	0.125916	0.0529493	0.0155616	0.00195734	

5	0.001	0	0	task-0:0.06	|	0.183215	0.221814	0.0153645	0.00938803	0.00579412	0.00214425	

4	0.001	0	0	task-0:0.025	|	0.293576	0.127481	0.0681877	0.00799053	0.00209243	

4	0.001	0	0	task-0:0.025	|	0.254556	0.0999129	0.0489589	0.0130386	0.00226061	

4	0.001	0	0	task-0:0.03	|	0.171232	0.0592389	0.0315496	0.00964769	0.00206579	

5	0.001	0	0	task-0:0.04	|	0.302012	0.202555	0.0210379	0.00966783	0.00317495	0.00203367	

5	0.001	0	0	task-0:0.005	|	0.187859	0.128519	0.0384997	0.0137366	0.00522914	0.0023221	

4	0.001	0	0	task-0:0.025	|	0.281292	0.103606	0.0860111	0.00299412	0.00164373	

5	0.001	0	0	task-0:0.065	|	0.303022	0.174258	0.032971	0.0124712	0.00264318	0.00190591	

5	0.001	0	0	task-0:0.03	|	0.231309	0.151961	0.0367134	0.0125566	0.0030035	0.0021483	

4	0.001	0	0	task-0:0.065	|	0.178472	0.0880482	0.0392525	0.0130288	0.00241595	

