79	0.015	1	0	task-0:0.19	|	0.235749	0.228935	0.228295	0.22616	0.222019	0.22111	0.226395	0.216269	0.215667	0.213765	0.20967	0.203607	0.227959	0.278999	0.215721	0.417535	0.197765	0.198114	0.19743	0.19731	0.197142	0.196821	0.197056	0.196728	0.196692	0.196658	0.196595	0.196521	0.196439	0.175463	0.165891	0.16019	0.14624	0.125079	0.127775	0.22597	0.0797022	0.103762	0.0715897	0.0698785	0.0671005	0.0655827	0.0620149	0.0593644	0.0619221	0.0561527	0.0547909	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

82	0.015	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

156	0.016	2	0	task-0:0.288	|	0.245743	0.238847	0.223832	0.219153	0.230315	0.214197	0.212949	0.212809	0.212133	0.211484	0.209859	0.207386	0.214066	0.218118	0.204788	0.204362	0.203583	0.203523	0.203096	0.202806	0.202468	0.20219	0.201805	0.201029	0.199754	0.202545	0.218908	0.197945	0.197789	0.19757	0.197356	0.197339	0.197454	0.197136	0.197081	0.196985	0.196817	0.196454	0.196071	0.199376	0.195932	0.196586	0.195742	0.195713	0.195686	0.195686	0.195637	0.195661	0.19562	0.195582	0.195554	0.195521	0.195435	0.174911	0.166992	0.15472	0.148474	0.135146	0.120194	0.094197	0.0608292	0.0506285	0.0481189	0.0441457	0.0382081	0.029868	0.020865	

99	0	1	0	task-0:0.29	|	0.239913	0.233605	0.221537	0.214035	0.21996	0.221087	0.21027	0.209371	0.208832	0.207601	0.20681	0.209185	0.205787	0.205324	0.20482	0.204046	0.205537	0.203688	0.20354	0.203155	0.202306	0.201929	0.202719	0.201161	0.201017	0.200693	0.200314	0.199781	0.200917	0.199586	0.199405	0.199184	0.198679	0.197887	0.201732	0.197843	0.174241	0.170668	0.155519	0.139709	0.1203	0.0946925	0.0624962	0.0480363	0.0511412	0.0442919	0.0370031	0.0326801	

82	0.015	1	0	task-0:0.27	|	0.241545	0.222752	0.221066	0.218593	0.217462	0.215903	0.215237	0.214302	0.213237	0.212096	0.210785	0.211938	0.209732	0.209267	0.208431	0.206888	0.207932	0.206138	0.205554	0.205507	0.205017	0.20479	0.204454	0.20448	0.204037	0.203762	0.203529	0.203269	0.173938	0.16006	0.142027	0.120794	0.0999034	0.0706836	0.0466684	0.0980591	0.0397561	0.0363752	0.0316749	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0.016	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0.015	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

118	0.016	1	0	task-0:0.14	|	0.254198	0.239695	0.239313	0.237103	0.232322	0.226786	0.229827	0.235569	0.222824	0.220526	0.218824	0.216687	0.215288	0.214966	0.214192	0.213284	0.211281	0.210461	0.213051	0.208334	0.207995	0.207101	0.205916	0.204716	0.208297	0.203959	0.203553	0.203211	0.202604	0.202908	0.202698	0.201739	0.201447	0.201074	0.200468	0.200365	0.200494	0.199697	0.199606	0.199382	0.199154	0.198768	0.198418	0.201423	0.178332	0.183752	0.159157	0.154809	0.145122	0.137566	0.127772	0.121331	0.117211	0.112236	0.107717	0.1014	0.0939535	0.0975791	0.0889627	0.0867119	0.0834858	0.0798879	0.0720265	0.0664361	0.109671	0.0601866	0.0585067	0.0568756	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

79	0	1	0	task-0:0.294	|	0.371508	0.234865	0.231335	0.223155	0.218186	0.218337	0.216999	0.215912	0.214835	0.213585	0.211832	0.208402	0.222741	0.20765	0.207257	0.206712	0.205366	0.20275	0.201374	0.275619	0.199139	0.199009	0.19869	0.198265	0.198688	0.198729	0.197814	0.197761	0.197592	0.197369	0.197023	0.197345	0.19694	0.172734	0.170279	0.15499	0.137755	0.115306	0.0877248	0.0852243	0.0748591	0.068753	0.0621512	0.049848	0.0331971	0.0162788	

