51	0.041	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0261149	9.13955e-005	1.5377e-007	3.55739e-010	4.7257e-013	0	0	0	0	0	0	0	0	2.22232e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.90777e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0636425	0.0131214	0.00134201	0.000143536	5.84403e-006	6.69636e-008	6.57517e-010	2.42748e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00547656	4.23022e-005	9.79677e-007	7.87106e-008	1.77599e-010	0	0	0	0	0	0	0	0	2.95924e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0156735	0.000729158	2.54885e-005	3.01942e-006	1.18636e-009	2.10248e-013	0	0	0	0	0	0	0	0	1.91928e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.0800876	0.000211497	5.54843e-008	7.23077e-011	1.09476e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.110329	0.000954553	3.08731e-006	1.96548e-008	1.35291e-010	3.59965e-013	0	0	0	0	0	0	0	1.00322e-014	0	0	0	0	0	8.04083e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0688302	0.000768988	1.75844e-006	7.79862e-009	2.4247e-012	0	0	0	0	0	0	0	0	1.45551e-014	0	0	0	0	0	0	2.649e-015	0	0	4.86634e-015	0	0	0	0	2.73585e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.044	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.104956	0.00350691	7.41987e-005	1.66465e-006	5.17379e-009	9.61829e-013	0	0	0	0	0	0	2.56964e-015	0	0	0	0	2.11588e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0008e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.043	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0496566	0.000277821	6.02657e-007	3.25632e-009	2.34901e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.042	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0259518	0.000120945	2.29907e-007	1.05993e-009	6.37594e-011	1.34493e-014	0	0	0	0	0	0	1.06119e-014	0	2.24102e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92736e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

