89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

108	0.046	1	0	task-3:0.46	task-0:0.142	task-1:0.13	task-2:0.472	|	0.0588093	0.0580664	0.0568047	0.0560519	0.0554857	0.0547297	0.0541855	0.0537844	0.0536314	0.0533478	0.053105	0.0535067	0.0530671	0.0530559	0.0530397	0.0530096	0.0529648	0.0528931	0.0530664	0.0533393	0.0528351	0.0528342	0.0528322	0.0528282	0.0528214	0.0519764	0.0506808	0.0473825	0.0421473	0.0373196	0.032742	0.0301234	0.0274642	0.0248933	0.0205766	0.01569	0.0123194	0.0153109	0.0108556	0.0100846	0.00954871	0.00925415	0.00870515	0.00777123	0.00633093	0.00412524	0.00165364	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

89	0.047	1	0	task-3:0.46	task-0:0.152	task-1:0.1	task-2:0.466	|	0.0631073	0.0589514	0.0538246	0.0537445	0.0535909	0.0533734	0.0532714	0.0532117	0.0531875	0.0531665	0.0531462	0.0531051	0.0530467	0.0530365	0.0530056	0.0522665	0.0512236	0.0485454	0.0441671	0.0399198	0.0361504	0.0349721	0.0322368	0.0298074	0.0250795	0.0187893	0.015644	0.0159213	0.0268849	0.0152892	0.0117429	0.0115657	0.0109943	0.0102702	0.00978586	0.00883568	0.00714055	0.00460263	0.00887138	0.0115429	0.00275104	0.00262564	0.00252007	0.00247486	

124	0.062	1	0	task-3:0.46	task-0:0.16	task-1:0.07	task-2:0.442	|	0.0588093	0.0580664	0.0568047	0.0560519	0.0554857	0.0547297	0.0541855	0.0537844	0.0536314	0.0533478	0.053105	0.0535067	0.0530671	0.0530559	0.0530397	0.0530096	0.0529648	0.0528931	0.0530664	0.0533393	0.0528351	0.0528342	0.0528322	0.0528282	0.0528214	0.0520348	0.0508253	0.0477471	0.0428973	0.0385182	0.0342047	0.0315977	0.0291768	0.0271649	0.0244367	0.0228115	0.0212935	0.0200381	0.0194903	0.0183689	0.0164056	0.0153604	0.0149873	0.0141993	0.0129999	0.0122562	0.0110656	0.00996075	0.00942296	0.00894134	0.00796454	0.00629736	0.00423546	0.00932557	0.00439216	0.00384869	0.00355615	0.00317407	0.00309401	0.00295149	0.00276115	0.00264435	0.00251651	0.00230707	

112	0.063	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.062	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

112	0.063	1	0	task-3:0.456	task-0:0.158	task-1:0.078	task-2:0.448	|	0.0615947	0.0595086	0.0559914	0.0556638	0.0555026	0.0551579	0.0545891	0.0543126	0.0559489	0.0540725	0.0540287	0.0539413	0.0537795	0.0535252	0.0535055	0.0535627	0.0532631	0.053245	0.0532098	0.053177	0.0531578	0.0531392	0.0522465	0.0509407	0.0476431	0.0426448	0.0384798	0.0339765	0.0308969	0.0289792	0.027399	0.024554	0.0205123	0.0176694	0.0159218	0.0139487	0.0124771	0.0110227	0.0107202	0.0102241	0.00926466	0.00780339	0.00647516	0.00624035	0.00595933	0.00572033	0.00558754	0.00534799	0.00493255	0.00459748	0.00448918	0.00429474	0.0038943	0.00312425	0.00208937	

