105	0.047	1	0	task-3:0.458	task-0:0.168	task-1:0.188	task-2:0.468	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0522885	0.0509899	0.0478528	0.0447129	0.04262	0.0396009	0.0369135	0.0347488	0.0321868	0.0286225	0.0238162	0.0265564	0.0241893	0.0187622	0.0184068	0.0179898	0.0171832	0.0160372	0.0142494	0.0154631	0.0162922	0.0121915	0.0119482	0.0115268	0.011016	0.0104992	0.00997247	
97	0.047	1	0	task-3:0.46	task-0:0.186	task-1:0.14	task-2:0.474	|	0.0615866	0.0596666	0.0564495	0.0560801	0.0558684	0.0554334	0.0547659	0.0541256	0.0541514	0.0539047	0.0538081	0.0536698	0.0535128	0.0534592	0.0534364	0.0534137	0.0533697	0.0533081	0.0532586	0.0532045	0.0531466	0.0531217	0.0531205	0.053112	0.0522027	0.0508783	0.0473544	0.0411633	0.0342929	0.0297946	0.0285579	0.0274462	0.0253416	0.0226119	0.0177702	0.0136532	0.0193827	0.0115278	0.0107534	0.0103494	0.00986029	

251	0.156	3	0	task-3:0.124	task-0:0.188	task-1:0.236	task-2:0.206	|	0.0553455	0.0550907	0.054744	0.0545008	0.0540979	0.0537643	0.0536819	0.0536055	0.0535518	0.053491	0.0534356	0.0533629	0.0533144	0.0532951	0.0532605	0.0532254	0.0531575	0.0529668	0.0530548	0.0523111	0.0518608	0.0511956	0.0513237	0.050964	0.0508475	0.0508207	0.0507739	0.0506775	0.0505563	0.0503348	0.0501015	0.0516701	0.0499298	0.0499106	0.0498833	0.0498185	0.0497625	0.0496525	0.0494405	0.0490829	0.0504833	0.0516013	0.0487379	0.0486948	0.0486124	0.0485029	0.0483329	0.0482924	0.0485814	0.0480759	0.0480511	0.0480125	0.0479483	0.0478874	0.0478122	0.0477664	0.0477275	0.0477035	0.0476871	0.0476648	0.0476369	0.0476059	0.0475482	0.0475024	0.0474691	0.0474524	0.0474146	0.0473343	0.0466576	0.0456344	0.043538	0.0409015	0.0359265	0.0310344	0.0323798	0.0274457	0.0264759	0.024467	0.02076	0.0201673	0.0183037	0.0157879	0.0150975	0.0143265	0.0128818	0.0108881	0.00970983	

251	0.141	3	0	task-3:0.124	task-0:0.188	task-1:0.236	task-2:0.206	|	0.0553455	0.0550907	0.054744	0.0545008	0.0540979	0.0537643	0.0536819	0.0536055	0.0535518	0.053491	0.0534356	0.0533629	0.0533144	0.0532951	0.0532605	0.0532254	0.0531575	0.0529668	0.0530548	0.0523111	0.0518608	0.0511956	0.0513237	0.050964	0.0508475	0.0508207	0.0507739	0.0506775	0.0505563	0.0503348	0.0501015	0.0516701	0.0499298	0.0499106	0.0498833	0.0498185	0.0497625	0.0496525	0.0494405	0.0490829	0.0504833	0.0516013	0.0487379	0.0486948	0.0486124	0.0485029	0.0483329	0.0482924	0.0485814	0.0480759	0.0480511	0.0480125	0.0479483	0.0478874	0.0478122	0.0477664	0.0477275	0.0477035	0.0476871	0.0476648	0.0476369	0.0476059	0.0475482	0.0475024	0.0474691	0.0474524	0.0474146	0.0473343	0.0466576	0.0456344	0.043538	0.0409015	0.0359265	0.0310344	0.0323798	0.0274457	0.0264759	0.024467	0.02076	0.0201673	0.0183037	0.0157879	0.0150975	0.0143265	0.0128818	0.0108881	0.00970983	

251	0.14	3	0	task-3:0.124	task-0:0.188	task-1:0.236	task-2:0.206	|	0.0553455	0.0550907	0.054744	0.0545008	0.0540979	0.0537643	0.0536819	0.0536055	0.0535518	0.053491	0.0534356	0.0533629	0.0533144	0.0532951	0.0532605	0.0532254	0.0531575	0.0529668	0.0530548	0.0523111	0.0518608	0.0511956	0.0513237	0.050964	0.0508475	0.0508207	0.0507739	0.0506775	0.0505563	0.0503348	0.0501015	0.0516701	0.0499298	0.0499106	0.0498833	0.0498185	0.0497625	0.0496525	0.0494405	0.0490829	0.0504833	0.0516013	0.0487379	0.0486948	0.0486124	0.0485029	0.0483329	0.0482924	0.0485814	0.0480759	0.0480511	0.0480125	0.0479483	0.0478874	0.0478122	0.0477664	0.0477275	0.0477035	0.0476871	0.0476648	0.0476369	0.0476059	0.0475482	0.0475024	0.0474691	0.0474524	0.0474146	0.0473343	0.0466576	0.0456344	0.043538	0.0409015	0.0359265	0.0310344	0.0323798	0.0274457	0.0264759	0.024467	0.02076	0.0201673	0.0183037	0.0157879	0.0150975	0.0143265	0.0128818	0.0108881	0.00970983	

251	0.141	3	0	task-3:0.124	task-0:0.188	task-1:0.236	task-2:0.206	|	0.0553455	0.0550907	0.054744	0.0545008	0.0540979	0.0537643	0.0536819	0.0536055	0.0535518	0.053491	0.0534356	0.0533629	0.0533144	0.0532951	0.0532605	0.0532254	0.0531575	0.0529668	0.0530548	0.0523111	0.0518608	0.0511956	0.0513237	0.050964	0.0508475	0.0508207	0.0507739	0.0506775	0.0505563	0.0503348	0.0501015	0.0516701	0.0499298	0.0499106	0.0498833	0.0498185	0.0497625	0.0496525	0.0494405	0.0490829	0.0504833	0.0516013	0.0487379	0.0486948	0.0486124	0.0485029	0.0483329	0.0482924	0.0485814	0.0480759	0.0480511	0.0480125	0.0479483	0.0478874	0.0478122	0.0477664	0.0477275	0.0477035	0.0476871	0.0476648	0.0476369	0.0476059	0.0475482	0.0475024	0.0474691	0.0474524	0.0474146	0.0473343	0.0466576	0.0456344	0.043538	0.0409015	0.0359265	0.0310344	0.0323798	0.0274457	0.0264759	0.024467	0.02076	0.0201673	0.0183037	0.0157879	0.0150975	0.0143265	0.0128818	0.0108881	0.00970983	

