105	0.078	1	0	task-3:0.06	task-0:0.134	task-1:0.204	task-2:0.132	|	0.0585418	0.0572306	0.0554092	0.0551528	0.0547938	0.0544642	0.0541182	0.0537802	0.0538804	0.053656	0.053616	0.0535475	0.0534785	0.0533661	0.0534019	0.0533119	0.0532962	0.0532665	0.0532305	0.0525891	0.0516128	0.0491419	0.0457065	0.0428999	0.0385723	0.0341659	0.0345249	0.0301743	0.0284406	0.0256564	0.0250785	0.0242104	0.0237834	0.0230165	0.0220396	0.0204394	0.0180098	0.01755	0.0154783	0.0148119	0.0137065	0.0122562	0.0114219	0.0112613	0.0105627	0.0103981	0.0100796	0.00951333	

85	0.047	1	0	task-3:0.05	task-0:0.182	task-1:0.236	task-2:0.094	|	0.0554329	0.0553087	0.0550193	0.0545645	0.0538747	0.0534745	0.053453	0.0532735	0.053257	0.0532251	0.0531816	0.0531422	0.0533105	0.0530835	0.0530723	0.0530502	0.0530103	0.0523705	0.0515092	0.0489484	0.0454251	0.0416299	0.0366106	0.033856	0.0326696	0.0298958	0.0284454	0.0256963	0.0218765	0.0198769	0.0258447	0.0173368	0.0159489	0.0155403	0.0151944	0.0147352	0.0139992	0.0133929	0.0123509	0.010691	0.00947491	

103	0.063	1	0	task-3:0.056	task-0:0.15	task-1:0.236	task-2:0.11	|	0.0541892	0.0540032	0.0537867	0.0537188	0.0535836	0.0533609	0.053238	0.0542399	0.0531447	0.0531395	0.0531264	0.0530975	0.0530537	0.053016	0.0529871	0.0529749	0.0529709	0.0529616	0.0529445	0.0529259	0.0529119	0.0529148	0.0529001	0.0528966	0.0522974	0.0513571	0.0488517	0.0444882	0.0398525	0.0357856	0.0343771	0.0319073	0.0297147	0.0265744	0.0216445	0.0199211	0.0293829	0.0169871	0.0151608	0.0142953	0.0139509	0.0132607	0.0119959	0.0107393	0.0110183	0.0100812	0.0096676	

111	0.062	1	0	task-3:0.046	task-0:0.162	task-1:0.232	task-2:0.112	|	0.057179	0.0570643	0.0568119	0.0564938	0.0558661	0.0550238	0.0546762	0.0544538	0.0543421	0.0542722	0.05422	0.0541387	0.0540885	0.0539998	0.0538853	0.0537839	0.0537726	0.0537312	0.0536791	0.0530637	0.0520557	0.0493169	0.0439141	0.035887	0.0324374	0.0362322	0.0298977	0.0290612	0.0271153	0.0261836	0.024288	0.0210449	0.0172847	0.0234736	0.0169168	0.0164233	0.0160685	0.0153364	0.0139921	0.0121286	0.0140853	0.0203312	0.0125482	0.0181464	0.0107132	0.01014	0.00960618	

111	0.047	1	0	task-3:0.046	task-0:0.162	task-1:0.232	task-2:0.112	|	0.057179	0.0570643	0.0568119	0.0564938	0.0558661	0.0550238	0.0546762	0.0544538	0.0543421	0.0542722	0.05422	0.0541387	0.0540885	0.0539998	0.0538853	0.0537839	0.0537726	0.0537312	0.0536791	0.0530637	0.0520557	0.0493169	0.0439141	0.035887	0.0324374	0.0362322	0.0298977	0.0290612	0.0271153	0.0261836	0.024288	0.0210449	0.0172847	0.0234736	0.0169168	0.0164233	0.0160685	0.0153364	0.0139921	0.0121286	0.0140853	0.0203312	0.0125482	0.0181464	0.0107132	0.01014	0.00960618	

111	0.062	1	0	task-3:0.046	task-0:0.162	task-1:0.232	task-2:0.112	|	0.057179	0.0570643	0.0568119	0.0564938	0.0558661	0.0550238	0.0546762	0.0544538	0.0543421	0.0542722	0.05422	0.0541387	0.0540885	0.0539998	0.0538853	0.0537839	0.0537726	0.0537312	0.0536791	0.0530637	0.0520557	0.0493169	0.0439141	0.035887	0.0324374	0.0362322	0.0298977	0.0290612	0.0271153	0.0261836	0.024288	0.0210449	0.0172847	0.0234736	0.0169168	0.0164233	0.0160685	0.0153364	0.0139921	0.0121286	0.0140853	0.0203312	0.0125482	0.0181464	0.0107132	0.01014	0.00960618	
