111	0.047	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.062	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.063	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.047	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

111	0.047	1	0	task-3:0.454	task-0:0.164	task-1:0.318	task-2:0.476	|	0.0590637	0.0571337	0.0550464	0.0549716	0.0548339	0.0546342	0.0544275	0.0540773	0.0538122	0.0540453	0.0536592	0.0536163	0.0535416	0.0534739	0.0534118	0.0533683	0.0532964	0.0531838	0.0531917	0.0533128	0.053055	0.0521118	0.0507902	0.0473925	0.0419719	0.0380554	0.0351704	0.0338133	0.0325212	0.0314444	0.0299121	0.0268265	0.0215162	0.0283552	0.0189281	0.0182825	0.0178895	0.0170042	0.0155127	0.0158303	0.01464	

92	0.031	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.046	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

203	0.109	1	0	task-3:0.132	task-0:0.416	task-1:0.43	task-2:0.03	|	0.0611333	0.0582962	0.0535908	0.0534265	0.0533842	0.053358	0.053324	0.0532746	0.0532374	0.0531861	0.0531481	0.0531298	0.053118	0.0530926	0.0530478	0.052773	0.0523057	0.0510868	0.0501162	0.0482017	0.0442941	0.0391217	0.0604161	0.0377865	0.0368787	0.0365848	0.0358863	0.0345699	0.0327504	0.0394042	0.0324046	0.0311353	0.0309538	0.0305532	0.0298776	0.0289522	0.0282824	0.0278126	0.0276019	0.0274382	0.0271606	0.0266101	0.02572	0.0249393	0.028215	0.0242888	0.0240966	0.023948	0.0237566	0.0234268	0.023101	0.0229245	0.0228131	0.0226432	0.0224694	0.0222035	0.0220063	0.0218858	0.0217827	0.0216164	0.0213848	0.0212614	0.0211736	0.0210169	0.0208796	0.0207016	0.0204858	0.0200502	0.0192046	0.0199074	0.024711	0.0180438	0.0179623	0.017837	0.0177503	0.0176804	0.0175418	0.0173132	0.0169386	0.0168741	0.0178113	0.0164064	0.0163268	0.0162377	0.0160697	0.0157477	0.0156151	0.0168767	0.0152596	0.0151846	0.015106	0.0150051	0.0148482	0.0145695	0.0143181	0.0199739	0.0140275	0.0139802	0.0138808	0.0136962	0.0135642	0.0135277	0.0134319	0.0133953	0.0133777	0.013372	0.0133586	0.0133214	0.0132406	0.0130849	0.0129083	0.0130512	

92	0.047	1	0	task-3:0.454	task-0:0.19	task-1:0.23	task-2:0.472	|	0.0587387	0.0579991	0.0569823	0.0568612	0.0565975	0.0561254	0.0556007	0.0551891	0.0550028	0.0546417	0.0540558	0.0541057	0.0549343	0.0534987	0.0534712	0.0534125	0.0533292	0.0532854	0.05324	0.0532191	0.0531894	0.0531516	0.0531199	0.0523641	0.0512683	0.0483609	0.0434376	0.0393982	0.0370095	0.0375957	0.0346128	0.0342393	0.0332898	0.0312023	0.0273863	0.027109	0.0232577	0.0219466	0.0213681	0.0208083	0.0202008	0.0198466	0.0189763	0.0172943	0.0146246	0.0108671	

