164	0.079	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

150	0.078	1	task-3:0.056	task-0:0.16	task-1:0.2	task-2:0.13	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653807	0.0646709	0.0632267	0.0605687	0.0571513	0.0543563	0.0511898	0.0471681	0.0480112	0.0432626	0.0411246	0.0401436	0.0390223	0.0379031	0.0367613	0.0357577	0.0348953	0.033136	0.0299022	0.026215	0.0272785	0.0241005	0.0235103	0.0228582	0.0219492	0.0211164	0.0201569	0.0191387	0.0178989	0.0170353	0.0164856	0.016242	0.0156994	0.014672	0.0134262	0.0150393	

164	0.093	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

150	0.079	1	task-3:0.056	task-0:0.16	task-1:0.2	task-2:0.13	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653807	0.0646709	0.0632267	0.0605687	0.0571513	0.0543563	0.0511898	0.0471681	0.0480112	0.0432626	0.0411246	0.0401436	0.0390223	0.0379031	0.0367613	0.0357577	0.0348953	0.033136	0.0299022	0.026215	0.0272785	0.0241005	0.0235103	0.0228582	0.0219492	0.0211164	0.0201569	0.0191387	0.0178989	0.0170353	0.0164856	0.016242	0.0156994	0.014672	0.0134262	0.0150393	

164	0.078	1	task-3:0.054	task-0:0.092	task-1:0.2	task-2:0.132	|	0.0751535	0.0747197	0.074125	0.0739988	0.0737628	0.0733285	0.0727586	0.0716942	0.0706596	0.0756876	0.0700334	0.0699244	0.0696863	0.0692347	0.0692365	0.069113	0.0686795	0.068617	0.0685174	0.0683067	0.0679133	0.0678052	0.0695957	0.0673742	0.0673317	0.0672907	0.0672302	0.0671534	0.0670886	0.0670868	0.0670282	0.0670033	0.0669531	0.0668577	0.0666957	0.0665044	0.0690092	0.0665026	0.0662456	0.0662335	0.0662169	0.0662062	0.0661815	0.0661324	0.0661426	0.0661007	0.06609	0.066066	0.0660203	0.065935	0.0653802	0.0646669	0.0632148	0.0605446	0.057131	0.0543263	0.051205	0.0472473	0.0442602	0.0432547	0.0406671	0.0389464	0.0374957	0.0373451	0.0368238	0.0357487	0.0343833	0.0332789	0.0322998	0.0314279	0.0299782	0.0281777	0.0260722	0.0255519	0.0244519	0.0236973	0.0229897	0.0222891	0.0220273	0.0216019	0.0207249	0.0195218	0.0192688	0.0180689	0.0173901	0.0167882	0.0162233	0.0153951	0.015057	0.0144733	0.0139381	0.0136339	0.0132889	0.0127422	0.0122279	0.0121703	0.0118087	0.0116446	0.0114114	0.0111714	0.0109849	0.0106128	0.0098931	

136	0.062	1	task-3:0.046	task-0:0.112	task-1:0.202	task-2:0.136	|	0.0753891	0.07478	0.0739822	0.07389	0.073704	0.0733363	0.0728294	0.0721784	0.0717208	0.071578	0.0713959	0.0712067	0.0709336	0.0706541	0.070492	0.0702015	0.0698719	0.0697181	0.0695768	0.0694869	0.0693065	0.0690963	0.0689497	0.0688482	0.0686883	0.0685793	0.0685076	0.0684433	0.0683455	0.068149	0.067779	0.0673935	0.0712605	0.0672083	0.06717	0.0671417	0.0671097	0.0670406	0.0669208	0.0668817	0.0670926	0.0667937	0.0667818	0.0667563	0.0667042	0.0666045	0.0655865	0.0656944	0.0632409	0.0604573	0.0578432	0.0555931	0.0526558	0.049909	0.0472719	0.0456771	0.0440298	0.0412215	0.0392372	0.0443642	0.0375099	0.0368694	0.0356665	0.0340362	0.0326311	0.0301643	0.0257629	0.031237	0.0229715	0.0222191	0.0215193	0.0203374	0.0194223	0.0186374	0.0179421	0.0177111	0.0171933	0.0161431	0.014209	0.0122495	0.0231665	0.0114708	0.0113503	0.0111851	0.0109847	0.0107831	0.010621	0.0103294	0.0100022	0.00959397	

145	0.062	1	task-3:0.048	task-0:0.102	task-1:0.21	task-2:0.116	|	0.0753891	0.07478	0.0739822	0.07389	0.073704	0.0733363	0.0728294	0.0721784	0.0717208	0.071578	0.0713959	0.0712067	0.0709336	0.0706541	0.070492	0.0702015	0.0698719	0.0697181	0.0695768	0.0694869	0.0693065	0.0690963	0.0689497	0.0688482	0.0686883	0.0685793	0.0685076	0.0684433	0.0683455	0.068149	0.067779	0.0673935	0.0712605	0.0672083	0.06717	0.0671417	0.0671097	0.0670406	0.0669208	0.0668817	0.0670926	0.0667937	0.0667818	0.0667563	0.0667042	0.0666045	0.06559	0.065711	0.0632955	0.0606677	0.0581336	0.0559487	0.053018	0.0503596	0.0477263	0.0468649	0.0456659	0.0431457	0.0398714	0.045071	0.0389503	0.0385296	0.0377473	0.0366295	0.0355118	0.0345572	0.0328387	0.0307653	0.0283264	0.0283197	0.0270186	0.0265964	0.0260261	0.0253596	0.0245549	0.0231208	0.021608	0.0217393	0.0204309	0.0199933	0.0194411	0.0188528	0.0184206	0.0176964	0.0173708	0.0166255	0.0157696	0.0155661	0.0151637	0.0146556	0.0141907	0.0137495	0.0132765	0.0128552	0.0122703	0.0111698	0.00966808	

145	0.063	1	task-3:0.048	task-0:0.102	task-1:0.21	task-2:0.116	|	0.0753891	0.07478	0.0739822	0.07389	0.073704	0.0733363	0.0728294	0.0721784	0.0717208	0.071578	0.0713959	0.0712067	0.0709336	0.0706541	0.070492	0.0702015	0.0698719	0.0697181	0.0695768	0.0694869	0.0693065	0.0690963	0.0689497	0.0688482	0.0686883	0.0685793	0.0685076	0.0684433	0.0683455	0.068149	0.067779	0.0673935	0.0712605	0.0672083	0.06717	0.0671417	0.0671097	0.0670406	0.0669208	0.0668817	0.0670926	0.0667937	0.0667818	0.0667563	0.0667042	0.0666045	0.06559	0.065711	0.0632955	0.0606677	0.0581336	0.0559487	0.053018	0.0503596	0.0477263	0.0468649	0.0456659	0.0431457	0.0398714	0.045071	0.0389503	0.0385296	0.0377473	0.0366295	0.0355118	0.0345572	0.0328387	0.0307653	0.0283264	0.0283197	0.0270186	0.0265964	0.0260261	0.0253596	0.0245549	0.0231208	0.021608	0.0217393	0.0204309	0.0199933	0.0194411	0.0188528	0.0184206	0.0176964	0.0173708	0.0166255	0.0157696	0.0155661	0.0151637	0.0146556	0.0141907	0.0137495	0.0132765	0.0128552	0.0122703	0.0111698	0.00966808	

