95	0.015	1	0	task-0:0.196	|	0.225676	0.215756	0.214695	0.213607	0.212857	0.212282	0.21103	0.210285	0.209631	0.208968	0.208614	0.207915	0.207798	0.207409	0.207293	0.206675	0.206097	0.204752	0.202969	0.213235	0.202433	0.20207	0.202006	0.201717	0.201449	0.201223	0.202698	0.200713	0.200577	0.20016	0.199728	0.198965	0.200411	0.184512	0.220391	0.171504	0.190176	0.161534	0.158727	0.152201	0.147371	0.145907	0.138617	0.132686	0.12707	0.123859	0.121672	0.117626	0.12014	0.114065	0.110655	0.109509	0.108715	0.105853	0.104198	0.101848	0.103886	0.0973782	0.0963927	0.0939103	
77	0	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

77	0.016	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

77	0	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

77	0.015	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

77	0	1	0	task-0:0.294	|	0.227488	0.225684	0.222664	0.21971	0.21688	0.216829	0.217932	0.213094	0.212594	0.211159	0.208973	0.205488	0.213904	0.225509	0.202471	0.202146	0.2016	0.201151	0.200419	0.199401	0.203528	0.199226	0.198817	0.198771	0.198581	0.198326	0.197783	0.198519	0.198946	0.197101	0.197026	0.196954	0.196876	0.196697	0.196315	0.196154	0.200617	0.195677	0.173281	0.168396	0.155925	0.134364	0.105598	0.0685947	0.066689	0.123295	0.0364945	0.0318447	

