200	0.047	2	task-0:0.322	|	0.276729	0.222408	0.221391	0.220543	0.219914	0.218773	0.218315	0.21746	0.216284	0.214689	0.21429	0.213756	0.213209	0.212601	0.21123	0.208721	0.213243	0.211955	0.206387	0.206246	0.20614	0.206039	0.205912	0.205675	0.205167	0.204173	0.205579	0.204395	0.203503	0.203508	0.203508	0.194675	0.188146	0.188393	0.183813	0.182457	0.178377	0.169403	0.151875	0.188045	0.14108	0.13806	0.137524	0.13616	0.13519	0.133458	0.131615	0.130032	0.128621	0.127582	0.125238	0.122216	0.123786	0.12103	0.120598	0.120227	0.119682	0.119384	0.119019	0.118834	0.118261	0.117241	0.116386	0.116757	0.115883	0.115713	0.11541	0.11502	0.114824	0.114483	0.114544	0.114439	0.114279	0.114073	0.113609	0.112968	0.112986	0.112848	0.112734	0.112459	0.112085	0.111715	0.111904	0.111838	0.111739	0.111508	0.111341	0.111229	0.111247	0.111211	0.111142	0.111032	0.0953018	0.0839859	0.0835066	0.0787165	0.0745656	0.065542	0.056691	0.056981	0.0507955	0.0506874	0.0497706	0.0493442	0.0494352	0.0495288	0.0527784	0.121086	0.0505892	0.0502604	0.0503277	0.049837	0.0490417	0.0481517	0.0464063	0.0434196	0.0509012	

134	0.015	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	

134	0.047	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	

134	0.016	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	

134	0.047	2	task-0:0.26	|	0.302071	0.221961	0.220602	0.219758	0.218705	0.217488	0.216109	0.213385	0.212375	0.229583	0.209505	0.209297	0.209063	0.208741	0.208304	0.207433	0.20673	0.205887	0.209825	0.205797	0.205783	0.205709	0.205532	0.183768	0.177122	0.168678	0.159873	0.15572	0.146711	0.131832	0.113825	0.127777	0.106985	0.105521	0.103064	0.102205	0.101102	0.0992623	0.0979934	0.0963283	0.0933935	0.0890055	0.0958269	0.0883979	0.0881092	0.0874285	0.08614	0.0862953	0.087137	0.0833862	0.0832234	0.082826	0.0825287	0.082405	0.0822229	0.081855	0.0819695	0.0819433	0.081711	0.0814092	0.0812217	0.0811499	0.0810985	0.080988	0.080855	0.0808192	0.080851	0.080782	0.0807675	0.0807399	0.0806792	0.0632763	0.052563	0.0476425	

