157	0.079	1	0	task-3:0.442	task-0:0.09	task-1:0.058	task-2:0.452	|	0.0760292	0.0723073	0.0612067	0.0642402	0.0553696	0.0552109	0.0549652	0.0547272	0.0544321	0.0541993	0.0538506	0.0534557	0.053716	0.0540831	0.0533236	0.0533107	0.0532708	0.0531952	0.053105	0.0530594	0.0530829	0.0530032	0.0529933	0.052978	0.0529622	0.052958	0.0529491	0.0529374	0.0529217	0.0529133	0.0529068	0.052458	0.0518524	0.0503134	0.0477832	0.0464709	0.0451361	0.0445642	0.043191	0.040767	0.040625	0.0414026	0.0365142	0.0360159	0.0350953	0.0332311	0.0299578	0.0266459	0.066848	0.0274273	0.0461844	0.024917	0.024677	0.0245214	0.024175	0.0234757	0.0221388	0.0201437	0.0333232	0.0197604	0.0195938	0.0194487	0.019205	0.0187329	0.0182055	0.0187803	0.0179451	0.0178336	0.0177015	0.0175411	0.0174985	0.0173858	0.0172268	0.017059	0.0169581	0.0167212	0.0162219	0.015286	0.0167059	0.0207532	0.0141032	0.0140362	0.013905	0.0137817	0.0136809	0.013644	0.0135663	0.0134181	0.013227	0.0130944	0.0130114	0.0129364	0.0128767	0.0128181	0.0126869	0.0124139	0.0119115	0.0130581	0.0126547	0.0113841	0.0113507	0.0112765	0.0111412	0.0110316	0.0109416	0.0108867	0.0108588	0.0107934	0.0106552	0.0103821	0.00987869	

98	0.046	1	0	task-3:0.458	task-0:0.188	task-1:0.132	task-2:0.472	|	0.0753766	0.0694319	0.0581139	0.0570955	0.0566986	0.0561598	0.0554456	0.0548524	0.0544995	0.0539471	0.0533528	0.0563871	0.0533021	0.0532845	0.0532587	0.05324	0.0531972	0.0531195	0.0530303	0.0536238	0.0530018	0.0529916	0.052982	0.0529625	0.0529298	0.0520927	0.0508992	0.0478243	0.0435313	0.040368	0.0368229	0.0337497	0.0309815	0.0284287	0.0235871	0.0168322	0.0160308	0.0150552	0.0130871	0.0115603	0.0113863	0.011024	0.0104872	0.00980316	

89	0.047	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

89	0.047	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

89	0.031	1	0	task-3:0.456	task-0:0.214	task-1:0.088	task-2:0.464	|	0.0567372	0.0565166	0.0561153	0.0555738	0.0550685	0.0544917	0.0541385	0.053877	0.0536568	0.0535216	0.0534441	0.0534167	0.0533826	0.0533622	0.0533162	0.0532345	0.0531884	0.0531747	0.0531252	0.0522601	0.0509993	0.0476794	0.0420219	0.0361868	0.0321118	0.0305633	0.0278166	0.0228744	0.0173459	0.0180998	0.0164904	0.0147155	0.0139263	0.0131649	0.0121882	0.0115297	0.010544	0.00897544	

