115	0.062	1	0	task-3:0.068	task-0:0.144	task-1:0.24	task-2:0.13	|	0.0568823	0.0562898	0.0555737	0.0554774	0.0552963	0.0549463	0.054485	0.0537894	0.0567883	0.0539449	0.0534739	0.0534425	0.0533793	0.0532765	0.0531592	0.05325	0.0531267	0.0531186	0.0531061	0.0530925	0.053063	0.0530102	0.052464	0.051492	0.0491826	0.0456268	0.0423313	0.037694	0.0338718	0.0337673	0.0305077	0.029117	0.0265094	0.0234925	0.0231567	0.0221366	0.0197946	0.0189387	0.0186515	0.0182424	0.0178292	0.0170967	0.0157674	0.0144856	0.0134093	0.0150757	0.0127711	0.0122268	0.0119883	0.0115083	0.0106229	0.00917687	
89	0.046	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

89	0.047	1	0	task-3:0.058	task-0:0.108	task-1:0.226	task-2:0.236	|	0.0594923	0.0581193	0.0564255	0.0563584	0.0561938	0.0558454	0.0552642	0.0546473	0.0539472	0.0549551	0.0538087	0.0536019	0.0535873	0.0535441	0.0534497	0.0532825	0.0532647	0.0536718	0.0530606	0.0530513	0.0530322	0.0523648	0.0512185	0.0485186	0.0445589	0.0410569	0.0362746	0.0330516	0.0321611	0.029231	0.0271881	0.0239631	0.0212543	0.0199351	0.0195233	0.0188503	0.0173999	0.0150767	0.0117744	0.0125694	0.0105444	0.00910611	

