88	0.063	1	0	task-3:0.052	task-0:0.128	task-1:0.238	task-2:0.132	|	0.0540129	0.0538008	0.0535252	0.0534593	0.0533226	0.0531521	0.0530859	0.0530373	0.0529432	0.0529294	0.052914	0.0528904	0.052871	0.0529264	0.0528678	0.0528667	0.0528644	0.052862	0.0528574	0.0528489	0.0528424	0.0528557	0.0522937	0.0514384	0.0492098	0.0454592	0.0415596	0.0375489	0.0364698	0.0331963	0.0314708	0.0288919	0.0257804	0.0229359	0.0261621	0.0216244	0.0213091	0.0209858	0.0204317	0.0193967	0.0178345	0.0157157	0.0171638	0.0143394	0.0139382	0.0131839	0.0117205	
110	0.047	1	0	task-3:0.048	task-0:0.15	task-1:0.254	task-2:0.12	|	0.056159	0.0560165	0.0556586	0.0550145	0.0541268	0.0533539	0.0533008	0.0533114	0.0532653	0.0532553	0.05324	0.0532201	0.0532046	0.053171	0.053115	0.0531012	0.0530635	0.0530463	0.0525835	0.051702	0.0493685	0.0453069	0.0408874	0.0369313	0.038049	0.0337341	0.0324058	0.0298341	0.0267038	0.0235558	0.022998	0.0219467	0.0214851	0.0208684	0.0201417	0.0191257	0.017511	0.0167465	0.0165829	0.0154757	0.0150113	0.0146986	0.014083	0.0130331	0.0115398	0.0103657	0.0192221	0.00955146	0.0093918	0.00920726	0.00906273	0.00899109	0.008845	0.00860558	0.00845218	

117	0.063	1	0	task-3:0.064	task-0:0.148	task-1:0.222	task-2:0.116	|	0.0769798	0.0699032	0.0554604	0.0547345	0.0543733	0.0542539	0.0540395	0.0537862	0.0536108	0.0535181	0.0534649	0.0533604	0.0532092	0.053518	0.0531574	0.0531442	0.0531248	0.053085	0.0530173	0.0530804	0.0529942	0.0529631	0.0529598	0.0529525	0.0529383	0.052918	0.0528917	0.0524445	0.0515631	0.049225	0.0449471	0.0398472	0.0388933	0.0381775	0.0365683	0.0352755	0.0335075	0.0308856	0.0265179	0.0290401	0.0291116	0.0214296	0.0204823	0.0200469	0.0195064	0.0189928	0.0180865	0.0168467	0.0150668	0.0161857	0.014653	0.0123161	0.011994	0.0117451	0.011309	0.0107111	0.00979044	0.010273	0.00934431	0.00918737	0.00888714	

106	0.062	1	0	task-3:0.082	task-0:0.14	task-1:0.288	task-2:0.208	|	0.0567035	0.0565824	0.0562626	0.0556635	0.0548878	0.0544852	0.0543124	0.0541859	0.0540002	0.0538221	0.0537632	0.0536502	0.0535973	0.0535305	0.0534579	0.053392	0.0533238	0.0532003	0.0532264	0.0532536	0.053062	0.0530506	0.053029	0.0524515	0.0515548	0.0491971	0.0451845	0.0407835	0.0356682	0.0340771	0.0313982	0.0303535	0.0293917	0.0281021	0.0264693	0.0241485	0.0237443	0.0226818	0.0221081	0.0213766	0.0203512	0.018846	0.0174339	0.017775	0.0167622	0.0159501	0.0147723	0.0132292	0.0120788	0.0144373	0.0114277	0.0111971	0.0108118	0.0104938	

110	0.063	1	0	task-3:0.048	task-0:0.15	task-1:0.254	task-2:0.12	|	0.056159	0.0560165	0.0556586	0.0550145	0.0541268	0.0533539	0.0533008	0.0533114	0.0532653	0.0532553	0.05324	0.0532201	0.0532046	0.053171	0.053115	0.0531012	0.0530635	0.0530463	0.0525835	0.051702	0.0493685	0.0453069	0.0408874	0.0369313	0.038049	0.0337341	0.0324058	0.0298341	0.0267038	0.0235558	0.022998	0.0219467	0.0214851	0.0208684	0.0201417	0.0191257	0.017511	0.0167465	0.0165829	0.0154757	0.0150113	0.0146986	0.014083	0.0130331	0.0115398	0.0103657	0.0192221	0.00955146	0.0093918	0.00920726	0.00906273	0.00899109	0.008845	0.00860558	0.00845218	

110	0.062	1	0	task-3:0.048	task-0:0.15	task-1:0.254	task-2:0.12	|	0.056159	0.0560165	0.0556586	0.0550145	0.0541268	0.0533539	0.0533008	0.0533114	0.0532653	0.0532553	0.05324	0.0532201	0.0532046	0.053171	0.053115	0.0531012	0.0530635	0.0530463	0.0525835	0.051702	0.0493685	0.0453069	0.0408874	0.0369313	0.038049	0.0337341	0.0324058	0.0298341	0.0267038	0.0235558	0.022998	0.0219467	0.0214851	0.0208684	0.0201417	0.0191257	0.017511	0.0167465	0.0165829	0.0154757	0.0150113	0.0146986	0.014083	0.0130331	0.0115398	0.0103657	0.0192221	0.00955146	0.0093918	0.00920726	0.00906273	0.00899109	0.008845	0.00860558	0.00845218	

117	0.063	1	0	task-3:0.064	task-0:0.148	task-1:0.222	task-2:0.116	|	0.0769798	0.0699032	0.0554604	0.0547345	0.0543733	0.0542539	0.0540395	0.0537862	0.0536108	0.0535181	0.0534649	0.0533604	0.0532092	0.053518	0.0531574	0.0531442	0.0531248	0.053085	0.0530173	0.0530804	0.0529942	0.0529631	0.0529598	0.0529525	0.0529383	0.052918	0.0528917	0.0524445	0.0515631	0.049225	0.0449471	0.0398472	0.0388933	0.0381775	0.0365683	0.0352755	0.0335075	0.0308856	0.0265179	0.0290401	0.0291116	0.0214296	0.0204823	0.0200469	0.0195064	0.0189928	0.0180865	0.0168467	0.0150668	0.0161857	0.014653	0.0123161	0.011994	0.0117451	0.011309	0.0107111	0.00979044	0.010273	0.00934431	0.00918737	0.00888714	

106	0.062	1	0	task-3:0.078	task-0:0.056	task-1:0.116	task-2:0.17	|	0.056159	0.0560165	0.0556586	0.0550145	0.0541268	0.0533539	0.0533008	0.0533114	0.0532653	0.0532553	0.05324	0.0532201	0.0532046	0.053171	0.053115	0.0531012	0.0530635	0.0530463	0.0526243	0.0519224	0.0499699	0.0462576	0.0417114	0.0393026	0.0365831	0.0333579	0.0304153	0.0293926	0.0273052	0.0241155	0.0217718	0.0219045	0.0190856	0.0184244	0.0171658	0.0152384	0.0145121	0.0315657	0.0136038	0.0134112	0.0130637	0.0125784	0.0121431	0.0119149	0.0115598	0.0109124	0.0098031	0.0103788	0.0109693	0.00840937	0.00831095	0.0081195	0.0078016	0.00732399	0.006507	0.00626143	0.0116946	0.00537573	

146	0.063	1	0	task-3:0.04	task-0:0.164	task-1:0.232	task-2:0.114	|	0.0867332	0.0796816	0.0597307	0.0634473	0.0542995	0.0540789	0.0539032	0.0536704	0.0534563	0.0533499	0.0533369	0.0533137	0.0532676	0.0531945	0.0531244	0.0530682	0.0530491	0.0530352	0.0530242	0.053005	0.0529858	0.052969	0.0529572	0.0529458	0.0529244	0.0529035	0.0525018	0.0517113	0.049601	0.0456629	0.0413624	0.0413719	0.0405229	0.0384084	0.0380246	0.0374986	0.0364971	0.0347424	0.0324772	0.0338832	0.0332887	0.0306842	0.0304468	0.0299581	0.0292518	0.0283099	0.027229	0.0289121	0.0265092	0.0261232	0.0256987	0.0248644	0.0234308	0.0222196	0.0365396	0.0211097	0.0209119	0.0206953	0.0205074	0.0202815	0.020022	0.0196487	0.0194458	0.0193646	0.0192589	0.019112	0.0187871	0.0182287	0.0178069	0.020723	0.0172671	0.0171747	0.0170135	0.0168535	0.0167703	0.0166246	0.0165053	0.0163031	0.0160981	0.0158981	0.0157686	0.0156014	0.0153232	0.0149952	0.0156307	0.0147171	0.0146714	0.0145745	0.0143804	0.0139898	0.0132407	0.0118921	0.00970111	

146	0.063	1	0	task-3:0.04	task-0:0.164	task-1:0.232	task-2:0.114	|	0.0867332	0.0796816	0.0597307	0.0634473	0.0542995	0.0540789	0.0539032	0.0536704	0.0534563	0.0533499	0.0533369	0.0533137	0.0532676	0.0531945	0.0531244	0.0530682	0.0530491	0.0530352	0.0530242	0.053005	0.0529858	0.052969	0.0529572	0.0529458	0.0529244	0.0529035	0.0525018	0.0517113	0.049601	0.0456629	0.0413624	0.0413719	0.0405229	0.0384084	0.0380246	0.0374986	0.0364971	0.0347424	0.0324772	0.0338832	0.0332887	0.0306842	0.0304468	0.0299581	0.0292518	0.0283099	0.027229	0.0289121	0.0265092	0.0261232	0.0256987	0.0248644	0.0234308	0.0222196	0.0365396	0.0211097	0.0209119	0.0206953	0.0205074	0.0202815	0.020022	0.0196487	0.0194458	0.0193646	0.0192589	0.019112	0.0187871	0.0182287	0.0178069	0.020723	0.0172671	0.0171747	0.0170135	0.0168535	0.0167703	0.0166246	0.0165053	0.0163031	0.0160981	0.0158981	0.0157686	0.0156014	0.0153232	0.0149952	0.0156307	0.0147171	0.0146714	0.0145745	0.0143804	0.0139898	0.0132407	0.0118921	0.00970111	

146	0.078	1	0	task-3:0.04	task-0:0.164	task-1:0.232	task-2:0.114	|	0.0867332	0.0796816	0.0597307	0.0634473	0.0542995	0.0540789	0.0539032	0.0536704	0.0534563	0.0533499	0.0533369	0.0533137	0.0532676	0.0531945	0.0531244	0.0530682	0.0530491	0.0530352	0.0530242	0.053005	0.0529858	0.052969	0.0529572	0.0529458	0.0529244	0.0529035	0.0525018	0.0517113	0.049601	0.0456629	0.0413624	0.0413719	0.0405229	0.0384084	0.0380246	0.0374986	0.0364971	0.0347424	0.0324772	0.0338832	0.0332887	0.0306842	0.0304468	0.0299581	0.0292518	0.0283099	0.027229	0.0289121	0.0265092	0.0261232	0.0256987	0.0248644	0.0234308	0.0222196	0.0365396	0.0211097	0.0209119	0.0206953	0.0205074	0.0202815	0.020022	0.0196487	0.0194458	0.0193646	0.0192589	0.019112	0.0187871	0.0182287	0.0178069	0.020723	0.0172671	0.0171747	0.0170135	0.0168535	0.0167703	0.0166246	0.0165053	0.0163031	0.0160981	0.0158981	0.0157686	0.0156014	0.0153232	0.0149952	0.0156307	0.0147171	0.0146714	0.0145745	0.0143804	0.0139898	0.0132407	0.0118921	0.00970111	

146	0.078	1	0	task-3:0.04	task-0:0.164	task-1:0.232	task-2:0.114	|	0.0867332	0.0796816	0.0597307	0.0634473	0.0542995	0.0540789	0.0539032	0.0536704	0.0534563	0.0533499	0.0533369	0.0533137	0.0532676	0.0531945	0.0531244	0.0530682	0.0530491	0.0530352	0.0530242	0.053005	0.0529858	0.052969	0.0529572	0.0529458	0.0529244	0.0529035	0.0525018	0.0517113	0.049601	0.0456629	0.0413624	0.0413719	0.0405229	0.0384084	0.0380246	0.0374986	0.0364971	0.0347424	0.0324772	0.0338832	0.0332887	0.0306842	0.0304468	0.0299581	0.0292518	0.0283099	0.027229	0.0289121	0.0265092	0.0261232	0.0256987	0.0248644	0.0234308	0.0222196	0.0365396	0.0211097	0.0209119	0.0206953	0.0205074	0.0202815	0.020022	0.0196487	0.0194458	0.0193646	0.0192589	0.019112	0.0187871	0.0182287	0.0178069	0.020723	0.0172671	0.0171747	0.0170135	0.0168535	0.0167703	0.0166246	0.0165053	0.0163031	0.0160981	0.0158981	0.0157686	0.0156014	0.0153232	0.0149952	0.0156307	0.0147171	0.0146714	0.0145745	0.0143804	0.0139898	0.0132407	0.0118921	0.00970111	

146	0.078	1	0	task-3:0.04	task-0:0.164	task-1:0.232	task-2:0.114	|	0.0867332	0.0796816	0.0597307	0.0634473	0.0542995	0.0540789	0.0539032	0.0536704	0.0534563	0.0533499	0.0533369	0.0533137	0.0532676	0.0531945	0.0531244	0.0530682	0.0530491	0.0530352	0.0530242	0.053005	0.0529858	0.052969	0.0529572	0.0529458	0.0529244	0.0529035	0.0525018	0.0517113	0.049601	0.0456629	0.0413624	0.0413719	0.0405229	0.0384084	0.0380246	0.0374986	0.0364971	0.0347424	0.0324772	0.0338832	0.0332887	0.0306842	0.0304468	0.0299581	0.0292518	0.0283099	0.027229	0.0289121	0.0265092	0.0261232	0.0256987	0.0248644	0.0234308	0.0222196	0.0365396	0.0211097	0.0209119	0.0206953	0.0205074	0.0202815	0.020022	0.0196487	0.0194458	0.0193646	0.0192589	0.019112	0.0187871	0.0182287	0.0178069	0.020723	0.0172671	0.0171747	0.0170135	0.0168535	0.0167703	0.0166246	0.0165053	0.0163031	0.0160981	0.0158981	0.0157686	0.0156014	0.0153232	0.0149952	0.0156307	0.0147171	0.0146714	0.0145745	0.0143804	0.0139898	0.0132407	0.0118921	0.00970111	

146	0.063	1	0	task-3:0.04	task-0:0.164	task-1:0.232	task-2:0.114	|	0.0867332	0.0796816	0.0597307	0.0634473	0.0542995	0.0540789	0.0539032	0.0536704	0.0534563	0.0533499	0.0533369	0.0533137	0.0532676	0.0531945	0.0531244	0.0530682	0.0530491	0.0530352	0.0530242	0.053005	0.0529858	0.052969	0.0529572	0.0529458	0.0529244	0.0529035	0.0525018	0.0517113	0.049601	0.0456629	0.0413624	0.0413719	0.0405229	0.0384084	0.0380246	0.0374986	0.0364971	0.0347424	0.0324772	0.0338832	0.0332887	0.0306842	0.0304468	0.0299581	0.0292518	0.0283099	0.027229	0.0289121	0.0265092	0.0261232	0.0256987	0.0248644	0.0234308	0.0222196	0.0365396	0.0211097	0.0209119	0.0206953	0.0205074	0.0202815	0.020022	0.0196487	0.0194458	0.0193646	0.0192589	0.019112	0.0187871	0.0182287	0.0178069	0.020723	0.0172671	0.0171747	0.0170135	0.0168535	0.0167703	0.0166246	0.0165053	0.0163031	0.0160981	0.0158981	0.0157686	0.0156014	0.0153232	0.0149952	0.0156307	0.0147171	0.0146714	0.0145745	0.0143804	0.0139898	0.0132407	0.0118921	0.00970111	

