51	0.109	16	0	task-3:0.49	task-0:0.334	task-1:0.348	task-2:0.17	|	0.0571861	0.119996	0.119993	0.118483	0.0654751	0.0824476	0.0722994	0.0537743	0.0656791	0.0631398	0.054188	0.0551117	0.0542588	0.0531804	0.0534538	0.0532619	0.0525084	0.0518562	0.0509826	0.0546619	0.0520176	0.0507925	0.0500386	0.0510276	0.0510507	0.0495989	0.0492117	0.0493723	0.0494582	0.0495664	0.0493491	0.0490332	0.0488148	0.0486198	0.0485307	0.0483773	0.0483794	0.0483772	0.0483862	0.0481491	0.0478997	0.0475228	0.0471961	0.0475855	0.0465521	0.0464062	0.0453899	0.0444853	0.0433595	0.0416845	0.038952	
19	0.047	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.047	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

19	0.047	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.047	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

19	0.031	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

27	0.047	16	0	task-3:0.224	task-0:0.464	task-1:0.26	task-2:0.322	|	0.0771848	0.099598	0.097943	0.0649027	0.0688144	0.0697027	0.0564556	0.0553871	0.0557001	0.0546508	0.0549992	0.0547904	0.0545037	0.0547247	0.0546987	0.0545998	0.0546446	0.0546257	0.0548317	0.0545623	0.0545352	0.0466284	0.0461711	0.0456774	0.0444099	0.0430069	0.0385669	

19	0.031	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.047	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

19	0.047	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.047	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

19	0.047	16	0	task-3:0.722	task-0:0.392	task-1:0.364	task-2:0.55	|	0.084351	0.118353	0.112906	0.0600714	0.0724472	0.0654004	0.0565736	0.0551087	0.0547534	0.0549148	0.0548212	0.0546836	0.054657	0.0545191	0.0542793	0.0535859	0.05247	0.0432672	0.037265	

20	0.047	16	0	task-3:0.432	task-0:0.324	task-1:0.322	task-2:0.458	|	0.0722507	0.119697	0.118412	0.0726904	0.0787944	0.0721614	0.0549195	0.0624355	0.0590495	0.05434	0.0549941	0.0546245	0.0525378	0.0511577	0.0495857	0.0477243	0.0450025	0.0421266	0.0401578	0.037701	

35	0.078	16	0	task-3:0.416	task-0:0.402	task-1:0.454	task-2:0.376	|	0.0796176	0.0999185	0.0995438	0.0829035	0.0607874	0.0578124	0.0553807	0.0546517	0.0552481	0.0556873	0.055243	0.0547033	0.0546341	0.0545577	0.0545052	0.0557752	0.079419	0.0783916	0.0646987	0.0573269	0.0586755	0.058078	0.054582	0.0541437	0.054153	0.0545021	0.0540669	0.0526277	0.0531279	0.0513453	0.0466856	0.0451349	0.0461722	0.0432822	0.0393588	

26	0.047	16	0	task-3:0.408	task-0:0.36	task-1:0.314	task-2:0.392	|	0.0600221	0.0998547	0.0994175	0.0761124	0.0793804	0.0650575	0.0558118	0.0548945	0.0556692	0.0557777	0.0550545	0.0545099	0.054566	0.0544837	0.054319	0.0543016	0.0542585	0.0542212	0.0541466	0.0534967	0.0517224	0.0533157	0.049245	0.0441924	0.0426312	0.0390645	

26	0.047	16	0	task-3:0.408	task-0:0.36	task-1:0.314	task-2:0.392	|	0.0600221	0.0998547	0.0994175	0.0761124	0.0793804	0.0650575	0.0558118	0.0548945	0.0556692	0.0557777	0.0550545	0.0545099	0.054566	0.0544837	0.054319	0.0543016	0.0542585	0.0542212	0.0541466	0.0534967	0.0517224	0.0533157	0.049245	0.0441924	0.0426312	0.0390645	

25	0.047	16	0	task-3:0.362	task-0:0.372	task-1:0.332	task-2:0.374	|	0.0645341	0.119319	0.118204	0.0932219	0.0553084	0.0742102	0.0770758	0.0571348	0.0599642	0.0603107	0.0530933	0.0553831	0.0544483	0.0516197	0.0525464	0.0523353	0.050934	0.0494511	0.0487958	0.0498753	0.0486763	0.0492868	0.043674	0.0439277	0.0340543	

26	0.062	16	0	task-3:0.408	task-0:0.36	task-1:0.314	task-2:0.392	|	0.0600221	0.0998547	0.0994175	0.0761124	0.0793804	0.0650575	0.0558118	0.0548945	0.0556692	0.0557777	0.0550545	0.0545099	0.054566	0.0544837	0.054319	0.0543016	0.0542585	0.0542212	0.0541466	0.0534967	0.0517224	0.0533157	0.049245	0.0441924	0.0426312	0.0390645	

28	0.063	16	0	task-3:0.3	task-0:0.272	task-1:0.198	task-2:0.482	|	0.0735259	0.0999601	0.099896	0.0935205	0.0562565	0.055018	0.0564154	0.0547886	0.0546443	0.0547257	0.0545169	0.0544031	0.0543133	0.0542316	0.0541536	0.0544352	0.0558396	0.0629227	0.0569639	0.0485095	0.0634354	0.05765	0.0469058	0.044535	0.0423063	0.0650241	0.0461368	0.0140856	

26	0.046	16	0	task-3:0.408	task-0:0.36	task-1:0.314	task-2:0.392	|	0.0600221	0.0998547	0.0994175	0.0761124	0.0793804	0.0650575	0.0558118	0.0548945	0.0556692	0.0557777	0.0550545	0.0545099	0.054566	0.0544837	0.054319	0.0543016	0.0542585	0.0542212	0.0541466	0.0534967	0.0517224	0.0533157	0.049245	0.0441924	0.0426312	0.0390645	

28	0.047	16	0	task-3:0.3	task-0:0.272	task-1:0.198	task-2:0.482	|	0.0735259	0.0999601	0.099896	0.0935205	0.0562565	0.055018	0.0564154	0.0547886	0.0546443	0.0547257	0.0545169	0.0544031	0.0543133	0.0542316	0.0541536	0.0544352	0.0558396	0.0629227	0.0569639	0.0485095	0.0634354	0.05765	0.0469058	0.044535	0.0423063	0.0650241	0.0461368	0.0140856	

26	0.046	16	0	task-3:0.408	task-0:0.36	task-1:0.314	task-2:0.392	|	0.0600221	0.0998547	0.0994175	0.0761124	0.0793804	0.0650575	0.0558118	0.0548945	0.0556692	0.0557777	0.0550545	0.0545099	0.054566	0.0544837	0.054319	0.0543016	0.0542585	0.0542212	0.0541466	0.0534967	0.0517224	0.0533157	0.049245	0.0441924	0.0426312	0.0390645	

28	0.063	16	0	task-3:0.3	task-0:0.272	task-1:0.198	task-2:0.482	|	0.0735259	0.0999601	0.099896	0.0935205	0.0562565	0.055018	0.0564154	0.0547886	0.0546443	0.0547257	0.0545169	0.0544031	0.0543133	0.0542316	0.0541536	0.0544352	0.0558396	0.0629227	0.0569639	0.0485095	0.0634354	0.05765	0.0469058	0.044535	0.0423063	0.0650241	0.0461368	0.0140856	

40	0.078	16	0	task-3:0.376	task-0:0.482	task-1:0.452	task-2:0.388	|	0.0761829	0.0997641	0.0993385	0.0739751	0.0820024	0.0665028	0.0555567	0.0551122	0.0551505	0.0546036	0.0556392	0.0557369	0.0548885	0.0546374	0.0550179	0.0545511	0.0542164	0.0544733	0.0544468	0.0542368	0.0536904	0.053551	0.0537329	0.053578	0.0531914	0.052614	0.0519533	0.0511862	0.0497819	0.049117	0.0476478	0.0458996	0.0449316	0.043665	0.0426471	0.0419418	0.0414924	0.0411083	0.0403717	0.0399667	

25	0.062	16	0	task-3:0.366	task-0:0.382	task-1:0.318	task-2:0.462	|	0.0822905	0.0998859	0.0996239	0.066757	0.0992943	0.0876668	0.064058	0.0531506	0.0521703	0.0528941	0.0506687	0.0492512	0.0490969	0.0469272	0.0451953	0.0435554	0.0427672	0.0418399	0.0441476	0.0439004	0.0419391	0.0412432	0.0408297	0.040061	0.0398282	

28	0.063	16	0	task-3:0.3	task-0:0.272	task-1:0.198	task-2:0.482	|	0.0735259	0.0999601	0.099896	0.0935205	0.0562565	0.055018	0.0564154	0.0547886	0.0546443	0.0547257	0.0545169	0.0544031	0.0543133	0.0542316	0.0541536	0.0544352	0.0558396	0.0629227	0.0569639	0.0485095	0.0634354	0.05765	0.0469058	0.044535	0.0423063	0.0650241	0.0461368	0.0140856	

28	0.062	16	0	task-3:0.3	task-0:0.272	task-1:0.198	task-2:0.482	|	0.0735259	0.0999601	0.099896	0.0935205	0.0562565	0.055018	0.0564154	0.0547886	0.0546443	0.0547257	0.0545169	0.0544031	0.0543133	0.0542316	0.0541536	0.0544352	0.0558396	0.0629227	0.0569639	0.0485095	0.0634354	0.05765	0.0469058	0.044535	0.0423063	0.0650241	0.0461368	0.0140856	

26	0.047	16	0	task-3:0.408	task-0:0.36	task-1:0.314	task-2:0.392	|	0.0600221	0.0998547	0.0994175	0.0761124	0.0793804	0.0650575	0.0558118	0.0548945	0.0556692	0.0557777	0.0550545	0.0545099	0.054566	0.0544837	0.054319	0.0543016	0.0542585	0.0542212	0.0541466	0.0534967	0.0517224	0.0533157	0.049245	0.0441924	0.0426312	0.0390645	

28	0.062	16	0	task-3:0.3	task-0:0.272	task-1:0.198	task-2:0.482	|	0.0735259	0.0999601	0.099896	0.0935205	0.0562565	0.055018	0.0564154	0.0547886	0.0546443	0.0547257	0.0545169	0.0544031	0.0543133	0.0542316	0.0541536	0.0544352	0.0558396	0.0629227	0.0569639	0.0485095	0.0634354	0.05765	0.0469058	0.044535	0.0423063	0.0650241	0.0461368	0.0140856	

