23	0.047	16	0	task-3:0.464	task-0:0.374	task-1:0.2	task-2:0.458	|	0.0571861	0.119996	0.119993	0.118301	0.0604343	0.0896717	0.0798738	0.0547247	0.0657675	0.0634308	0.0544744	0.0566219	0.0552332	0.0541523	0.0541383	0.0541892	0.0542793	0.0545215	0.0472851	0.0529038	0.0456787	0.0441329	0.0298891	
29	0.063	16	0	task-3:0.36	task-0:0.378	task-1:0.402	task-2:0.312	|	0.0582309	0.119866	0.119602	0.110243	0.0574796	0.0806884	0.0744556	0.0575555	0.0555996	0.0561636	0.054545	0.0557122	0.0558061	0.0585184	0.0633427	0.0589981	0.0548062	0.0541127	0.0512614	0.047992	0.0473709	0.0462957	0.0457357	0.0428751	0.0420397	0.0416192	0.0410861	0.0402154	0.0388742	

29	0.046	16	0	task-3:0.36	task-0:0.378	task-1:0.402	task-2:0.312	|	0.0582309	0.119866	0.119602	0.110243	0.0574796	0.0806884	0.0744556	0.0575555	0.0555996	0.0561636	0.054545	0.0557122	0.0558061	0.0585184	0.0633427	0.0589981	0.0548062	0.0541127	0.0512614	0.047992	0.0473709	0.0462957	0.0457357	0.0428751	0.0420397	0.0416192	0.0410861	0.0402154	0.0388742	

29	0.063	16	0	task-3:0.36	task-0:0.378	task-1:0.402	task-2:0.312	|	0.0582309	0.119866	0.119602	0.110243	0.0574796	0.0806884	0.0744556	0.0575555	0.0555996	0.0561636	0.054545	0.0557122	0.0558061	0.0585184	0.0633427	0.0589981	0.0548062	0.0541127	0.0512614	0.047992	0.0473709	0.0462957	0.0457357	0.0428751	0.0420397	0.0416192	0.0410861	0.0402154	0.0388742	

29	0.062	16	0	task-3:0.36	task-0:0.378	task-1:0.402	task-2:0.312	|	0.0582309	0.119866	0.119602	0.110243	0.0574796	0.0806884	0.0744556	0.0575555	0.0555996	0.0561636	0.054545	0.0557122	0.0558061	0.0585184	0.0633427	0.0589981	0.0548062	0.0541127	0.0512614	0.047992	0.0473709	0.0462957	0.0457357	0.0428751	0.0420397	0.0416192	0.0410861	0.0402154	0.0388742	

29	0.063	16	0	task-3:0.36	task-0:0.378	task-1:0.402	task-2:0.312	|	0.0582309	0.119866	0.119602	0.110243	0.0574796	0.0806884	0.0744556	0.0575555	0.0555996	0.0561636	0.054545	0.0557122	0.0558061	0.0585184	0.0633427	0.0589981	0.0548062	0.0541127	0.0512614	0.047992	0.0473709	0.0462957	0.0457357	0.0428751	0.0420397	0.0416192	0.0410861	0.0402154	0.0388742	

