110	0.06	1	0	task-3:0.126	task-0:0.078	task-1:0.15	task-2:0.102	|	0.0713765	0.0655473	0.0554689	0.0541157	0.0533968	0.0522388	0.0506635	0.0519031	0.0554995	0.0501984	0.0501287	0.0500812	0.0499856	0.0498255	0.0496901	0.0495174	0.0501555	0.0494661	0.0494354	0.0494309	0.0494168	0.0493873	0.0484502	0.0471713	0.0435141	0.0376811	0.0326483	0.0287104	0.0254976	0.0219273	0.0183983	0.0123956	0.0058674	0.00369574	0.00656785	0.00254566	0.00238203	
89	0.037	1	0	task-3:0.09	task-0:0.09	task-1:0.1	task-2:0.148	|	0.0535773	0.0530946	0.0525303	0.0523521	0.0520238	0.0516019	0.0515232	0.0514089	0.0512662	0.0512336	0.0511601	0.0510074	0.0508365	0.0506524	0.0503648	0.0502859	0.0506124	0.0500968	0.0500774	0.0500305	0.0499496	0.0498194	0.0496946	0.0503596	0.0496417	0.0496299	0.049607	0.0495608	0.0494787	0.049471	0.0486761	0.047508	0.0442591	0.0381051	0.0302741	0.027491	0.0245208	0.023006	0.0200919	0.0151151	0.00936766	0.0076563	0.00666178	0.00584389	0.00481584	0.00438397	0.00425687	0.00396809	0.0034091	0.00254131	0.00165338	

89	0.035	1	0	task-3:0.09	task-0:0.09	task-1:0.1	task-2:0.148	|	0.0535773	0.0530946	0.0525303	0.0523521	0.0520238	0.0516019	0.0515232	0.0514089	0.0512662	0.0512336	0.0511601	0.0510074	0.0508365	0.0506524	0.0503648	0.0502859	0.0506124	0.0500968	0.0500774	0.0500305	0.0499496	0.0498194	0.0496946	0.0503596	0.0496417	0.0496299	0.049607	0.0495608	0.0494787	0.049471	0.0486761	0.047508	0.0442591	0.0381051	0.0302741	0.027491	0.0245208	0.023006	0.0200919	0.0151151	0.00936766	0.0076563	0.00666178	0.00584389	0.00481584	0.00438397	0.00425687	0.00396809	0.0034091	0.00254131	0.00165338	

144	0.058	1	0	task-3:0.092	task-0:0.094	task-1:0.062	task-2:0.132	|	0.0622314	0.0602888	0.0568118	0.0562892	0.0558009	0.0549976	0.0541493	0.0532966	0.0528262	0.052135	0.0520899	0.0517067	0.051597	0.0514912	0.0513453	0.0511352	0.0507374	0.0503472	0.0525794	0.0500554	0.0500242	0.049995	0.0499465	0.0498862	0.0498371	0.0497872	0.0497694	0.0497414	0.0496962	0.049636	0.0496199	0.0495978	0.0486344	0.0471739	0.0435536	0.0388327	0.035052	0.0329838	0.0293051	0.0254676	0.0282564	0.0242541	0.0237984	0.0231417	0.0225906	0.0215208	0.0198347	0.0168831	0.0128285	0.0229248	0.0186729	0.0116903	0.0101868	0.0098462	0.00956221	0.00918352	0.00883982	0.00846709	0.0078294	0.00689489	0.0106935	0.00633271	0.00586405	0.00577105	0.00561672	0.00549708	0.00538809	0.00527328	0.00504747	0.00495098	0.00475827	0.0044543	0.00399873	0.00417626	0.00403592	0.00351853	0.00348061	0.00340599	0.00324884	0.00301576	0.00259699	0.00193545	

95	0.043	1	0	task-3:0.108	task-0:0.084	task-1:0.138	task-2:0.104	|	0.0707628	0.0659759	0.0577241	0.055757	0.0546197	0.0530543	0.0512465	0.0533223	0.0510063	0.0509061	0.0507974	0.0506239	0.0505389	0.0504757	0.0504321	0.0503772	0.0502935	0.0501983	0.0502013	0.0501017	0.0500702	0.0490717	0.0475246	0.0434046	0.0359117	0.0280129	0.0280144	0.0237861	0.0215078	0.0177943	0.0134134	0.00776609	0.00542774	0.0136174	0.00317853	0.00286021	0.00268216	0.00260587	0.00245379	

144	0.062	1	0	task-3:0.092	task-0:0.094	task-1:0.062	task-2:0.132	|	0.0622314	0.0602888	0.0568118	0.0562892	0.0558009	0.0549976	0.0541493	0.0532966	0.0528262	0.052135	0.0520899	0.0517067	0.051597	0.0514912	0.0513453	0.0511352	0.0507374	0.0503472	0.0525794	0.0500554	0.0500242	0.049995	0.0499465	0.0498862	0.0498371	0.0497872	0.0497694	0.0497414	0.0496962	0.049636	0.0496199	0.0495978	0.0486344	0.0471739	0.0435536	0.0388327	0.035052	0.0329838	0.0293051	0.0254676	0.0282564	0.0242541	0.0237984	0.0231417	0.0225906	0.0215208	0.0198347	0.0168831	0.0128285	0.0229248	0.0186729	0.0116903	0.0101868	0.0098462	0.00956221	0.00918352	0.00883982	0.00846709	0.0078294	0.00689489	0.0106935	0.00633271	0.00586405	0.00577105	0.00561672	0.00549708	0.00538809	0.00527328	0.00504747	0.00495098	0.00475827	0.0044543	0.00399873	0.00417626	0.00403592	0.00351853	0.00348061	0.00340599	0.00324884	0.00301576	0.00259699	0.00193545	

144	0.068	1	0	task-3:0.092	task-0:0.094	task-1:0.062	task-2:0.132	|	0.0622314	0.0602888	0.0568118	0.0562892	0.0558009	0.0549976	0.0541493	0.0532966	0.0528262	0.052135	0.0520899	0.0517067	0.051597	0.0514912	0.0513453	0.0511352	0.0507374	0.0503472	0.0525794	0.0500554	0.0500242	0.049995	0.0499465	0.0498862	0.0498371	0.0497872	0.0497694	0.0497414	0.0496962	0.049636	0.0496199	0.0495978	0.0486344	0.0471739	0.0435536	0.0388327	0.035052	0.0329838	0.0293051	0.0254676	0.0282564	0.0242541	0.0237984	0.0231417	0.0225906	0.0215208	0.0198347	0.0168831	0.0128285	0.0229248	0.0186729	0.0116903	0.0101868	0.0098462	0.00956221	0.00918352	0.00883982	0.00846709	0.0078294	0.00689489	0.0106935	0.00633271	0.00586405	0.00577105	0.00561672	0.00549708	0.00538809	0.00527328	0.00504747	0.00495098	0.00475827	0.0044543	0.00399873	0.00417626	0.00403592	0.00351853	0.00348061	0.00340599	0.00324884	0.00301576	0.00259699	0.00193545	

95	0.044	1	0	task-3:0.108	task-0:0.084	task-1:0.138	task-2:0.104	|	0.0707628	0.0659759	0.0577241	0.055757	0.0546197	0.0530543	0.0512465	0.0533223	0.0510063	0.0509061	0.0507974	0.0506239	0.0505389	0.0504757	0.0504321	0.0503772	0.0502935	0.0501983	0.0502013	0.0501017	0.0500702	0.0490717	0.0475246	0.0434046	0.0359117	0.0280129	0.0280144	0.0237861	0.0215078	0.0177943	0.0134134	0.00776609	0.00542774	0.0136174	0.00317853	0.00286021	0.00268216	0.00260587	0.00245379	

144	0.059	1	0	task-3:0.092	task-0:0.094	task-1:0.062	task-2:0.132	|	0.0622314	0.0602888	0.0568118	0.0562892	0.0558009	0.0549976	0.0541493	0.0532966	0.0528262	0.052135	0.0520899	0.0517067	0.051597	0.0514912	0.0513453	0.0511352	0.0507374	0.0503472	0.0525794	0.0500554	0.0500242	0.049995	0.0499465	0.0498862	0.0498371	0.0497872	0.0497694	0.0497414	0.0496962	0.049636	0.0496199	0.0495978	0.0486344	0.0471739	0.0435536	0.0388327	0.035052	0.0329838	0.0293051	0.0254676	0.0282564	0.0242541	0.0237984	0.0231417	0.0225906	0.0215208	0.0198347	0.0168831	0.0128285	0.0229248	0.0186729	0.0116903	0.0101868	0.0098462	0.00956221	0.00918352	0.00883982	0.00846709	0.0078294	0.00689489	0.0106935	0.00633271	0.00586405	0.00577105	0.00561672	0.00549708	0.00538809	0.00527328	0.00504747	0.00495098	0.00475827	0.0044543	0.00399873	0.00417626	0.00403592	0.00351853	0.00348061	0.00340599	0.00324884	0.00301576	0.00259699	0.00193545	

