87	0.031	1	0	task-3:0.452	task-0:0.166	task-1:0.186	task-2:0.472	|	0.0602144	0.0586316	0.0566744	0.0565745	0.056372	0.0559423	0.0551648	0.054035	0.0555974	0.0567349	0.0532792	0.0532553	0.0532171	0.0531775	0.0531372	0.0530764	0.053162	0.0530409	0.0530189	0.0530171	0.0530104	0.0529984	0.0529872	0.0522439	0.0511741	0.0482766	0.0430904	0.0381138	0.0351771	0.0461091	0.0332503	0.0325871	0.0312027	0.0283105	0.023808	0.0294575	0.0225236	0.0221661	0.0215225	0.0202413	0.0178376	0.0141815	

181	0.094	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.11	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.093	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

181	0.094	1	0	task-3:0.13	task-0:0.406	task-1:0.432	task-2:0.062	|	0.0536543	0.0534643	0.0532654	0.0532383	0.0531895	0.0531357	0.0531084	0.0530774	0.0530509	0.0530393	0.0530332	0.0530248	0.0530134	0.0526281	0.0520684	0.0506781	0.0484215	0.0461319	0.0449781	0.0442791	0.0431057	0.0416451	0.0405654	0.0399809	0.0389578	0.0380949	0.0367264	0.0354054	0.0346608	0.0343896	0.0336485	0.0322285	0.0310785	0.0336391	0.0296742	0.0293701	0.0287751	0.0278508	0.0270425	0.0266559	0.0262839	0.0260786	0.0256386	0.0247769	0.0232366	0.0208517	0.0280515	0.0647042	0.0171998	0.0172857	0.0170436	0.0169856	0.0168912	0.0167212	0.0164086	0.0159467	0.0180286	0.0157085	0.0156395	0.0156325	0.0156015	0.0155278	0.0153879	0.0151941	0.0148269	0.016199	0.0146921	0.0145886	0.0145551	0.0144771	0.01433	0.0141033	0.0146614	0.0139516	0.0139266	0.0139226	0.0138873	0.0138259	0.0137699	0.013658	0.0134557	0.0132591	0.0164524	0.0131501	0.013091	0.0130219	0.012902	0.0127879	0.0126064	0.0126107	0.0124953	

