57	0.125	16	0	task-3:0.506	task-0:0.244	task-1:0.382	task-2:0.44	|	0.059995	0.0998764	0.0997346	0.083014	0.0646203	0.0589952	0.0558663	0.0559261	0.054541	0.0543896	0.0544736	0.0546778	0.0543956	0.0543517	0.05435	0.054292	0.0542765	0.054247	0.0542642	0.0545332	0.055607	0.056321	0.0551985	0.0553443	0.0552003	0.0545541	0.0539687	0.0517304	0.049077	0.0476462	0.0467481	0.0481056	0.047166	0.0479244	0.0498441	0.0486819	0.049281	0.0504872	0.051129	0.0515224	0.0521457	0.0529967	0.0560753	0.0570906	0.0529193	0.0525053	0.0540526	0.0510439	0.049238	0.0481751	0.0465957	0.0449478	0.0433581	0.0427185	0.0406454	0.0404203	0.0375465	

57	0.125	16	0	task-3:0.506	task-0:0.244	task-1:0.382	task-2:0.44	|	0.059995	0.0998764	0.0997346	0.083014	0.0646203	0.0589952	0.0558663	0.0559261	0.054541	0.0543896	0.0544736	0.0546778	0.0543956	0.0543517	0.05435	0.054292	0.0542765	0.054247	0.0542642	0.0545332	0.055607	0.056321	0.0551985	0.0553443	0.0552003	0.0545541	0.0539687	0.0517304	0.049077	0.0476462	0.0467481	0.0481056	0.047166	0.0479244	0.0498441	0.0486819	0.049281	0.0504872	0.051129	0.0515224	0.0521457	0.0529967	0.0560753	0.0570906	0.0529193	0.0525053	0.0540526	0.0510439	0.049238	0.0481751	0.0465957	0.0449478	0.0433581	0.0427185	0.0406454	0.0404203	0.0375465	

57	0.125	16	0	task-3:0.506	task-0:0.244	task-1:0.382	task-2:0.44	|	0.059995	0.0998764	0.0997346	0.083014	0.0646203	0.0589952	0.0558663	0.0559261	0.054541	0.0543896	0.0544736	0.0546778	0.0543956	0.0543517	0.05435	0.054292	0.0542765	0.054247	0.0542642	0.0545332	0.055607	0.056321	0.0551985	0.0553443	0.0552003	0.0545541	0.0539687	0.0517304	0.049077	0.0476462	0.0467481	0.0481056	0.047166	0.0479244	0.0498441	0.0486819	0.049281	0.0504872	0.051129	0.0515224	0.0521457	0.0529967	0.0560753	0.0570906	0.0529193	0.0525053	0.0540526	0.0510439	0.049238	0.0481751	0.0465957	0.0449478	0.0433581	0.0427185	0.0406454	0.0404203	0.0375465	

36	0.187	16	0	task-3:0.438	task-0:0.288	task-1:0.312	task-2:0.442	|	0.0887775	0.0998498	0.099721	0.0726471	0.0918595	0.079225	0.055853	0.0624169	0.0613885	0.0560339	0.0554742	0.0553472	0.0540437	0.0540213	0.0542612	0.0545606	0.0562242	0.0555588	0.054775	0.054694	0.0546255	0.054547	0.0545311	0.0546172	0.0551745	0.054697	0.053558	0.0528688	0.0524257	0.0516281	0.0504386	0.0489841	0.0469811	0.0444018	0.0412292	0.0373813	

37	0.266	16	0	task-3:0.404	task-0:0.28	task-1:0.234	task-2:0.44	|	0.0563433	0.11965	0.118937	0.100732	0.0543634	0.0801544	0.070569	0.0546337	0.0586492	0.0586145	0.0544613	0.0543812	0.0540991	0.053357	0.0534148	0.0528748	0.0522816	0.051722	0.0508622	0.0475383	0.0478629	0.0516051	0.0513022	0.0492754	0.0463656	0.0463262	0.0469323	0.0487281	0.0483547	0.0470929	0.0460636	0.0458945	0.0461418	0.0463249	0.0460685	0.0455153	0.0397186	

24	0.062	16	0	task-3:0.448	task-0:0.448	task-1:0.472	task-2:0.43	|	0.0544749	0.119744	0.119103	0.0956263	0.0580426	0.0562171	0.0570548	0.0571971	0.055108	0.0547436	0.054646	0.0547129	0.0547049	0.0545138	0.0543803	0.0544004	0.0548787	0.0594839	0.0575222	0.0588046	0.0506568	0.0470285	0.0451938	0.037992	

37	0.078	16	0	task-3:0.404	task-0:0.28	task-1:0.234	task-2:0.44	|	0.0563433	0.11965	0.118937	0.100732	0.0543634	0.0801544	0.070569	0.0546337	0.0586492	0.0586145	0.0544613	0.0543812	0.0540991	0.053357	0.0534148	0.0528748	0.0522816	0.051722	0.0508622	0.0475383	0.0478629	0.0516051	0.0513022	0.0492754	0.0463656	0.0463262	0.0469323	0.0487281	0.0483547	0.0470929	0.0460636	0.0458945	0.0461418	0.0463249	0.0460685	0.0455153	0.0397186	

24	0.047	16	0	task-3:0.448	task-0:0.448	task-1:0.472	task-2:0.43	|	0.0544749	0.119744	0.119103	0.0956263	0.0580426	0.0562171	0.0570548	0.0571971	0.055108	0.0547436	0.054646	0.0547129	0.0547049	0.0545138	0.0543803	0.0544004	0.0548787	0.0594839	0.0575222	0.0588046	0.0506568	0.0470285	0.0451938	0.037992	

37	0.094	16	0	task-3:0.404	task-0:0.28	task-1:0.234	task-2:0.44	|	0.0563433	0.11965	0.118937	0.100732	0.0543634	0.0801544	0.070569	0.0546337	0.0586492	0.0586145	0.0544613	0.0543812	0.0540991	0.053357	0.0534148	0.0528748	0.0522816	0.051722	0.0508622	0.0475383	0.0478629	0.0516051	0.0513022	0.0492754	0.0463656	0.0463262	0.0469323	0.0487281	0.0483547	0.0470929	0.0460636	0.0458945	0.0461418	0.0463249	0.0460685	0.0455153	0.0397186	

37	0.078	16	0	task-3:0.404	task-0:0.28	task-1:0.234	task-2:0.44	|	0.0563433	0.11965	0.118937	0.100732	0.0543634	0.0801544	0.070569	0.0546337	0.0586492	0.0586145	0.0544613	0.0543812	0.0540991	0.053357	0.0534148	0.0528748	0.0522816	0.051722	0.0508622	0.0475383	0.0478629	0.0516051	0.0513022	0.0492754	0.0463656	0.0463262	0.0469323	0.0487281	0.0483547	0.0470929	0.0460636	0.0458945	0.0461418	0.0463249	0.0460685	0.0455153	0.0397186	

51	0.109	16	0	task-3:0.42	task-0:0.184	task-1:0.354	task-2:0.458	|	0.0549132	0.0999368	0.0997836	0.089036	0.0632733	0.0639174	0.0584682	0.0578705	0.0558207	0.0555306	0.0555581	0.055724	0.0549702	0.0541012	0.0535216	0.0531163	0.0527343	0.0525694	0.0522363	0.0526134	0.0527942	0.0527836	0.0546737	0.0643472	0.0595532	0.0525341	0.0510687	0.0498018	0.0494071	0.0491898	0.049095	0.0488972	0.0484932	0.0480718	0.0474465	0.0468787	0.0465186	0.0475154	0.0513061	0.0476601	0.049757	0.05543	0.0499986	0.0485953	0.046373	0.0432172	0.0452963	0.0444838	0.0417045	0.0405553	0.0394659	

37	0.078	16	0	task-3:0.404	task-0:0.28	task-1:0.234	task-2:0.44	|	0.0563433	0.11965	0.118937	0.100732	0.0543634	0.0801544	0.070569	0.0546337	0.0586492	0.0586145	0.0544613	0.0543812	0.0540991	0.053357	0.0534148	0.0528748	0.0522816	0.051722	0.0508622	0.0475383	0.0478629	0.0516051	0.0513022	0.0492754	0.0463656	0.0463262	0.0469323	0.0487281	0.0483547	0.0470929	0.0460636	0.0458945	0.0461418	0.0463249	0.0460685	0.0455153	0.0397186	

37	0.063	16	0	task-3:0.404	task-0:0.28	task-1:0.234	task-2:0.44	|	0.0563433	0.11965	0.118937	0.100732	0.0543634	0.0801544	0.070569	0.0546337	0.0586492	0.0586145	0.0544613	0.0543812	0.0540991	0.053357	0.0534148	0.0528748	0.0522816	0.051722	0.0508622	0.0475383	0.0478629	0.0516051	0.0513022	0.0492754	0.0463656	0.0463262	0.0469323	0.0487281	0.0483547	0.0470929	0.0460636	0.0458945	0.0461418	0.0463249	0.0460685	0.0455153	0.0397186	

31	0.063	16	0	task-3:0.424	task-0:0.282	task-1:0.304	task-2:0.438	|	0.054845	0.0553338	0.0947296	0.0636306	0.0925135	0.0678151	0.0597746	0.0571167	0.057381	0.0625059	0.057675	0.054866	0.0549438	0.0542616	0.0545607	0.0543918	0.0544773	0.0538303	0.0519226	0.0523852	0.0529788	0.0526818	0.049537	0.0460888	0.044865	0.0451083	0.0463717	0.0574034	0.0424889	0.0445506	0.0398842	

31	0.062	16	0	task-3:0.424	task-0:0.282	task-1:0.304	task-2:0.438	|	0.054845	0.0553338	0.0947296	0.0636306	0.0925135	0.0678151	0.0597746	0.0571167	0.057381	0.0625059	0.057675	0.054866	0.0549438	0.0542616	0.0545607	0.0543918	0.0544773	0.0538303	0.0519226	0.0523852	0.0529788	0.0526818	0.049537	0.0460888	0.044865	0.0451083	0.0463717	0.0574034	0.0424889	0.0445506	0.0398842	

31	0.078	16	0	task-3:0.424	task-0:0.282	task-1:0.304	task-2:0.438	|	0.054845	0.0553338	0.0947296	0.0636306	0.0925135	0.0678151	0.0597746	0.0571167	0.057381	0.0625059	0.057675	0.054866	0.0549438	0.0542616	0.0545607	0.0543918	0.0544773	0.0538303	0.0519226	0.0523852	0.0529788	0.0526818	0.049537	0.0460888	0.044865	0.0451083	0.0463717	0.0574034	0.0424889	0.0445506	0.0398842	

