
289	0.146	2	0	task-3:0.45	task-0:0.478	task-1:0.472	task-2:0.496	|	0.0424189	0.0411546	0.0391335	0.0375808	0.0353098	0.0316382	0.0267343	0.0246434	0.0230867	0.0229907	0.0227493	0.0225634	0.0222282	0.0216672	0.0211965	0.0205785	0.0226355	0.0204474	0.0203756	0.0204008	0.0203987	0.020378	0.0203313	0.0202508	0.0205559	0.020157	0.0202207	0.0202278	0.0202435	0.0202784	0.0202796	0.0202834	0.0202709	0.0202482	0.0202677	0.0202801	0.0202654	0.0202237	0.0201347	0.0200249	0.0200549	0.0200133	0.019988	0.0199426	0.0199296	0.0198474	0.0194715	0.0189166	0.0179828	0.0173018	0.0172558	0.0170434	0.0169	0.0168055	0.0166159	0.0163204	0.0161435	0.0173908	0.0160131	0.0159952	0.0159512	0.0158719	0.0157518	0.0156582	0.016126	0.0156012	0.01557	0.0155647	0.0155536	0.0155351	0.0155023	0.0154635	0.0154835	0.0155402	0.0154332	0.015428	0.0154238	0.0154163	0.0153997	0.0153697	0.0153195	0.0152594	0.0153389	0.0157348	0.015268	0.015263	0.0152515	0.0152299	0.015198	0.0151742	0.0151478	0.0151335	0.0151085	0.0150863	0.0150639	0.0150338	0.0149829	

289	0.147	2	0	task-3:0.45	task-0:0.478	task-1:0.472	task-2:0.496	|	0.0424189	0.0411546	0.0391335	0.0375808	0.0353098	0.0316382	0.0267343	0.0246434	0.0230867	0.0229907	0.0227493	0.0225634	0.0222282	0.0216672	0.0211965	0.0205785	0.0226355	0.0204474	0.0203756	0.0204008	0.0203987	0.020378	0.0203313	0.0202508	0.0205559	0.020157	0.0202207	0.0202278	0.0202435	0.0202784	0.0202796	0.0202834	0.0202709	0.0202482	0.0202677	0.0202801	0.0202654	0.0202237	0.0201347	0.0200249	0.0200549	0.0200133	0.019988	0.0199426	0.0199296	0.0198474	0.0194715	0.0189166	0.0179828	0.0173018	0.0172558	0.0170434	0.0169	0.0168055	0.0166159	0.0163204	0.0161435	0.0173908	0.0160131	0.0159952	0.0159512	0.0158719	0.0157518	0.0156582	0.016126	0.0156012	0.01557	0.0155647	0.0155536	0.0155351	0.0155023	0.0154635	0.0154835	0.0155402	0.0154332	0.015428	0.0154238	0.0154163	0.0153997	0.0153697	0.0153195	0.0152594	0.0153389	0.0157348	0.015268	0.015263	0.0152515	0.0152299	0.015198	0.0151742	0.0151478	0.0151335	0.0151085	0.0150863	0.0150639	0.0150338	0.0149829	

289	0.148	2	0	task-3:0.45	task-0:0.478	task-1:0.472	task-2:0.496	|	0.0424189	0.0411546	0.0391335	0.0375808	0.0353098	0.0316382	0.0267343	0.0246434	0.0230867	0.0229907	0.0227493	0.0225634	0.0222282	0.0216672	0.0211965	0.0205785	0.0226355	0.0204474	0.0203756	0.0204008	0.0203987	0.020378	0.0203313	0.0202508	0.0205559	0.020157	0.0202207	0.0202278	0.0202435	0.0202784	0.0202796	0.0202834	0.0202709	0.0202482	0.0202677	0.0202801	0.0202654	0.0202237	0.0201347	0.0200249	0.0200549	0.0200133	0.019988	0.0199426	0.0199296	0.0198474	0.0194715	0.0189166	0.0179828	0.0173018	0.0172558	0.0170434	0.0169	0.0168055	0.0166159	0.0163204	0.0161435	0.0173908	0.0160131	0.0159952	0.0159512	0.0158719	0.0157518	0.0156582	0.016126	0.0156012	0.01557	0.0155647	0.0155536	0.0155351	0.0155023	0.0154635	0.0154835	0.0155402	0.0154332	0.015428	0.0154238	0.0154163	0.0153997	0.0153697	0.0153195	0.0152594	0.0153389	0.0157348	0.015268	0.015263	0.0152515	0.0152299	0.015198	0.0151742	0.0151478	0.0151335	0.0151085	0.0150863	0.0150639	0.0150338	0.0149829	

289	0.151	2	0	task-3:0.45	task-0:0.478	task-1:0.472	task-2:0.496	|	0.0424189	0.0411546	0.0391335	0.0375808	0.0353098	0.0316382	0.0267343	0.0246434	0.0230867	0.0229907	0.0227493	0.0225634	0.0222282	0.0216672	0.0211965	0.0205785	0.0226355	0.0204474	0.0203756	0.0204008	0.0203987	0.020378	0.0203313	0.0202508	0.0205559	0.020157	0.0202207	0.0202278	0.0202435	0.0202784	0.0202796	0.0202834	0.0202709	0.0202482	0.0202677	0.0202801	0.0202654	0.0202237	0.0201347	0.0200249	0.0200549	0.0200133	0.019988	0.0199426	0.0199296	0.0198474	0.0194715	0.0189166	0.0179828	0.0173018	0.0172558	0.0170434	0.0169	0.0168055	0.0166159	0.0163204	0.0161435	0.0173908	0.0160131	0.0159952	0.0159512	0.0158719	0.0157518	0.0156582	0.016126	0.0156012	0.01557	0.0155647	0.0155536	0.0155351	0.0155023	0.0154635	0.0154835	0.0155402	0.0154332	0.015428	0.0154238	0.0154163	0.0153997	0.0153697	0.0153195	0.0152594	0.0153389	0.0157348	0.015268	0.015263	0.0152515	0.0152299	0.015198	0.0151742	0.0151478	0.0151335	0.0151085	0.0150863	0.0150639	0.0150338	0.0149829	

289	0.151	2	0	task-3:0.45	task-0:0.478	task-1:0.472	task-2:0.496	|	0.0424189	0.0411546	0.0391335	0.0375808	0.0353098	0.0316382	0.0267343	0.0246434	0.0230867	0.0229907	0.0227493	0.0225634	0.0222282	0.0216672	0.0211965	0.0205785	0.0226355	0.0204474	0.0203756	0.0204008	0.0203987	0.020378	0.0203313	0.0202508	0.0205559	0.020157	0.0202207	0.0202278	0.0202435	0.0202784	0.0202796	0.0202834	0.0202709	0.0202482	0.0202677	0.0202801	0.0202654	0.0202237	0.0201347	0.0200249	0.0200549	0.0200133	0.019988	0.0199426	0.0199296	0.0198474	0.0194715	0.0189166	0.0179828	0.0173018	0.0172558	0.0170434	0.0169	0.0168055	0.0166159	0.0163204	0.0161435	0.0173908	0.0160131	0.0159952	0.0159512	0.0158719	0.0157518	0.0156582	0.016126	0.0156012	0.01557	0.0155647	0.0155536	0.0155351	0.0155023	0.0154635	0.0154835	0.0155402	0.0154332	0.015428	0.0154238	0.0154163	0.0153997	0.0153697	0.0153195	0.0152594	0.0153389	0.0157348	0.015268	0.015263	0.0152515	0.0152299	0.015198	0.0151742	0.0151478	0.0151335	0.0151085	0.0150863	0.0150639	0.0150338	0.0149829	
