
128	0.078	1	task-3:0.046	task-0:0.098	task-1:0.21	task-2:0.122	|	0.0765686	0.0762628	0.0756657	0.0751076	0.0747216	0.0740502	0.0734403	0.0728528	0.0725083	0.0722281	0.0720397	0.0716777	0.0713666	0.0711538	0.0709779	0.0706999	0.0701462	0.0697923	0.0701359	0.0692923	0.0691941	0.0690542	0.0688314	0.0685922	0.0684762	0.0683625	0.0682857	0.0682505	0.068216	0.068158	0.0681076	0.0680047	0.0678113	0.067688	0.0677591	0.0675401	0.0675024	0.0674373	0.066378	0.0655535	0.0633762	0.0590819	0.0526555	0.0480701	0.046354	0.0458327	0.0448854	0.0428494	0.0390057	0.034922	0.0367983	0.0328235	0.0298195	0.02884	0.0281691	0.0274347	0.0263686	0.0253758	0.0236647	0.022146	0.0266513	0.0209468	0.0205664	0.0200104	0.0192861	0.0186749	0.0177516	0.0160381	0.0135135	0.0274103	0.0124923	0.012037	0.011984	0.0118722	0.0117239	0.0115486	

130	0.063	1	task-3:0.068	task-0:0.106	task-1:0.148	task-2:0.15	|	0.0780766	0.0774033	0.0762463	0.0756797	0.075263	0.0743459	0.0725853	0.069815	0.0748556	0.0987724	0.0757222	0.106051	0.0670813	0.0670227	0.0669839	0.0669487	0.066918	0.0668491	0.0667301	0.0666804	0.0668086	0.066601	0.0665877	0.0665605	0.0665089	0.065818	0.0655037	0.0641449	0.0620117	0.0595204	0.058239	0.0567144	0.0549395	0.0519217	0.0499188	0.0482939	0.0476292	0.0469745	0.046182	0.0452584	0.0442204	0.0433263	0.0426275	0.0417702	0.0402749	0.0388007	0.0376136	0.0367085	0.0352984	0.0332082	0.0320382	0.0309924	0.0304547	0.0294106	0.0275568	0.0266882	0.0260536	0.0248543	0.0244657	0.0240919	0.0233359	0.0219564	0.0210403	0.0218445	0.0199128	0.0196998	0.0194247	0.0188828	0.0179584	0.016364	0.0153809	0.0364786	0.0139975	0.0139288	0.0138189	0.0136677	0.0134023	0.0129144	0.0123632	0.0131523	0.0121234	0.0120469	0.0119094	0.0117688	0.0117091	0.0115827	0.0113282	0.0108422	0.0101795	0.0134701	

130	0.063	1	task-3:0.068	task-0:0.106	task-1:0.148	task-2:0.15	|	0.0780766	0.0774033	0.0762463	0.0756797	0.075263	0.0743459	0.0725853	0.069815	0.0748556	0.0987724	0.0757222	0.106051	0.0670813	0.0670227	0.0669839	0.0669487	0.066918	0.0668491	0.0667301	0.0666804	0.0668086	0.066601	0.0665877	0.0665605	0.0665089	0.065818	0.0655037	0.0641449	0.0620117	0.0595204	0.058239	0.0567144	0.0549395	0.0519217	0.0499188	0.0482939	0.0476292	0.0469745	0.046182	0.0452584	0.0442204	0.0433263	0.0426275	0.0417702	0.0402749	0.0388007	0.0376136	0.0367085	0.0352984	0.0332082	0.0320382	0.0309924	0.0304547	0.0294106	0.0275568	0.0266882	0.0260536	0.0248543	0.0244657	0.0240919	0.0233359	0.0219564	0.0210403	0.0218445	0.0199128	0.0196998	0.0194247	0.0188828	0.0179584	0.016364	0.0153809	0.0364786	0.0139975	0.0139288	0.0138189	0.0136677	0.0134023	0.0129144	0.0123632	0.0131523	0.0121234	0.0120469	0.0119094	0.0117688	0.0117091	0.0115827	0.0113282	0.0108422	0.0101795	0.0134701	

130	0.062	1	task-3:0.068	task-0:0.106	task-1:0.148	task-2:0.15	|	0.0780766	0.0774033	0.0762463	0.0756797	0.075263	0.0743459	0.0725853	0.069815	0.0748556	0.0987724	0.0757222	0.106051	0.0670813	0.0670227	0.0669839	0.0669487	0.066918	0.0668491	0.0667301	0.0666804	0.0668086	0.066601	0.0665877	0.0665605	0.0665089	0.065818	0.0655037	0.0641449	0.0620117	0.0595204	0.058239	0.0567144	0.0549395	0.0519217	0.0499188	0.0482939	0.0476292	0.0469745	0.046182	0.0452584	0.0442204	0.0433263	0.0426275	0.0417702	0.0402749	0.0388007	0.0376136	0.0367085	0.0352984	0.0332082	0.0320382	0.0309924	0.0304547	0.0294106	0.0275568	0.0266882	0.0260536	0.0248543	0.0244657	0.0240919	0.0233359	0.0219564	0.0210403	0.0218445	0.0199128	0.0196998	0.0194247	0.0188828	0.0179584	0.016364	0.0153809	0.0364786	0.0139975	0.0139288	0.0138189	0.0136677	0.0134023	0.0129144	0.0123632	0.0131523	0.0121234	0.0120469	0.0119094	0.0117688	0.0117091	0.0115827	0.0113282	0.0108422	0.0101795	0.0134701	

130	0.063	1	task-3:0.068	task-0:0.106	task-1:0.148	task-2:0.15	|	0.0780766	0.0774033	0.0762463	0.0756797	0.075263	0.0743459	0.0725853	0.069815	0.0748556	0.0987724	0.0757222	0.106051	0.0670813	0.0670227	0.0669839	0.0669487	0.066918	0.0668491	0.0667301	0.0666804	0.0668086	0.066601	0.0665877	0.0665605	0.0665089	0.065818	0.0655037	0.0641449	0.0620117	0.0595204	0.058239	0.0567144	0.0549395	0.0519217	0.0499188	0.0482939	0.0476292	0.0469745	0.046182	0.0452584	0.0442204	0.0433263	0.0426275	0.0417702	0.0402749	0.0388007	0.0376136	0.0367085	0.0352984	0.0332082	0.0320382	0.0309924	0.0304547	0.0294106	0.0275568	0.0266882	0.0260536	0.0248543	0.0244657	0.0240919	0.0233359	0.0219564	0.0210403	0.0218445	0.0199128	0.0196998	0.0194247	0.0188828	0.0179584	0.016364	0.0153809	0.0364786	0.0139975	0.0139288	0.0138189	0.0136677	0.0134023	0.0129144	0.0123632	0.0131523	0.0121234	0.0120469	0.0119094	0.0117688	0.0117091	0.0115827	0.0113282	0.0108422	0.0101795	0.0134701	
