165	0.031	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.031	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

165	0.031	1	0	task-0:0.12	|	0.25757	0.252821	0.240563	0.239394	0.233657	0.227931	0.225215	0.221979	0.217095	0.215551	0.211369	0.205113	0.194845	0.194595	0.210526	0.180294	0.18015	0.178715	0.17739	0.175147	0.170488	0.162513	0.17996	0.183321	0.155162	0.155324	0.155432	0.15501	0.15451	0.154631	0.154735	0.15437	0.153938	0.153898	0.153629	0.152883	0.151959	0.150473	0.15295	0.150584	0.150487	0.15032	0.149936	0.148916	0.15071	0.149184	0.149082	0.148886	0.148518	0.147828	0.14677	0.148429	0.147122	0.147125	0.147131	0.147003	0.122014	0.119424	0.114932	0.105999	0.0986	0.0890275	0.0726982	0.0371747	0.0265541	0.19841	0.0224439	0.0641024	0.0124869	0.0113002	0.0112121	0.0110314	0.0107823	0.0103549	0.00966056	0.00915271	0.00856237	0.00838902	0.00829856	0.00809511	0.00767934	0.00692553	0.00575517	0.00639625	0.0254573	0.00458534	0.00455102	0.0044796	0.00433957	0.00431683	0.00415811	0.00409571	0.00406854	0.00400845	0.00387582	0.00363571	0.00326708	0.00366363	0.00330463	0.00293975	0.00291361	0.00287845	0.00280602	0.0026683	0.00242483	

218	0.036	1	0	task-0:0.155	|	0.264953	0.241808	0.236627	0.223201	0.20353	0.2386	0.211421	0.185389	0.184728	0.182428	0.181497	0.179174	0.175695	0.176126	0.172215	0.171185	0.170993	0.169606	0.1689	0.168405	0.167397	0.165298	0.163253	0.163542	0.161218	0.161179	0.160706	0.159654	0.15842	0.156273	0.16012	0.156142	0.155827	0.155185	0.153953	0.151485	0.163518	0.151653	0.15151	0.15119	0.150938	0.150287	0.149569	0.148881	0.149105	0.149164	0.149156	0.148904	0.148803	0.148629	0.150675	0.132324	0.121716	0.119927	0.118979	0.112841	0.107473	0.0993929	0.0882652	0.124633	0.0879251	0.0845157	0.0833042	0.0823377	0.0820452	0.0767084	0.07856	0.0784303	0.0761698	0.0712113	0.0719742	0.0676619	0.0673748	0.0656813	0.0629769	0.0634509	0.0625211	0.0579005	0.0467703	0.0362989	0.161737	0.0293964	0.026972	0.0252711	0.0247513	0.0235823	0.0216412	0.0220798	0.0206663	0.0203877	0.0199013	0.019507	0.0191269	0.0189653	0.018547	0.0176674	0.0164529	0.0222922	0.0158562	0.0156628	0.0154013	0.0149762	0.0147631	0.0144647	0.0140961	0.0139858	0.0138989	0.0137261	0.0135275	0.0133721	0.0132157	0.0129329	0.0126498	0.0122666	0.0122599	0.0118648	0.0116983	0.0116651	0.0115438	0.0114003	0.0112616	0.0111926	0.0109844	0.0108367	0.0107249	0.0106373	0.0104672	0.0103711	0.0101446	0.00967194	0.00880575	0.00890076	0.029398	0.0075743	0.00745081	0.00737798	0.00727428	0.00706491	0.00671887	0.00653238	0.00661266	0.00632894	0.00628555	0.00622965	0.00612329	0.005915	0.00554268	0.00522546	0.0208747	0.00489627	0.00486982	0.0048107	0.00468625	0.00444084	0.00398776	0.00335728	0.0241701	0.00317881	0.00315954	0.00311919	0.00304015	0.00290389	0.00266275	0.00320585	0.00519825	0.00234619	

218	0.036	1	0	task-0:0.155	|	0.264953	0.241808	0.236627	0.223201	0.20353	0.2386	0.211421	0.185389	0.184728	0.182428	0.181497	0.179174	0.175695	0.176126	0.172215	0.171185	0.170993	0.169606	0.1689	0.168405	0.167397	0.165298	0.163253	0.163542	0.161218	0.161179	0.160706	0.159654	0.15842	0.156273	0.16012	0.156142	0.155827	0.155185	0.153953	0.151485	0.163518	0.151653	0.15151	0.15119	0.150938	0.150287	0.149569	0.148881	0.149105	0.149164	0.149156	0.148904	0.148803	0.148629	0.150675	0.132324	0.121716	0.119927	0.118979	0.112841	0.107473	0.0993929	0.0882652	0.124633	0.0879251	0.0845157	0.0833042	0.0823377	0.0820452	0.0767084	0.07856	0.0784303	0.0761698	0.0712113	0.0719742	0.0676619	0.0673748	0.0656813	0.0629769	0.0634509	0.0625211	0.0579005	0.0467703	0.0362989	0.161737	0.0293964	0.026972	0.0252711	0.0247513	0.0235823	0.0216412	0.0220798	0.0206663	0.0203877	0.0199013	0.019507	0.0191269	0.0189653	0.018547	0.0176674	0.0164529	0.0222922	0.0158562	0.0156628	0.0154013	0.0149762	0.0147631	0.0144647	0.0140961	0.0139858	0.0138989	0.0137261	0.0135275	0.0133721	0.0132157	0.0129329	0.0126498	0.0122666	0.0122599	0.0118648	0.0116983	0.0116651	0.0115438	0.0114003	0.0112616	0.0111926	0.0109844	0.0108367	0.0107249	0.0106373	0.0104672	0.0103711	0.0101446	0.00967194	0.00880575	0.00890076	0.029398	0.0075743	0.00745081	0.00737798	0.00727428	0.00706491	0.00671887	0.00653238	0.00661266	0.00632894	0.00628555	0.00622965	0.00612329	0.005915	0.00554268	0.00522546	0.0208747	0.00489627	0.00486982	0.0048107	0.00468625	0.00444084	0.00398776	0.00335728	0.0241701	0.00317881	0.00315954	0.00311919	0.00304015	0.00290389	0.00266275	0.00320585	0.00519825	0.00234619	

