51	0.026	4	0	task-0:0.034	|	0.197692	0.00029659	5.67029e-008	1.35724e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.123	4	0	task-0:0.034	|	0.279383	0.00722564	3.39615e-005	4.53302e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.126	4	0	task-0:0.034	|	0.272281	0.00317107	1.36442e-005	4.48022e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.13	4	0	task-0:0.034	|	0.220249	0.000671364	9.2699e-008	1.33581e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.229	4	0	task-0:0.034	|	0.297383	0.00159535	4.05034e-006	2.06011e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.13	4	0	task-0:0.034	|	0.140679	0.000212624	6.52033e-008	1.3317e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.128	4	0	task-0:0.034	|	0.134786	0.00238243	1.30137e-005	5.06947e-009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.123	4	0	task-0:0.034	|	0.140679	0.000212624	6.52033e-008	1.3317e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

