275	0.026	1	0	task-0:0.222	|	0.315068	0.281462	0.277489	0.263637	0.242162	0.239984	0.247893	0.218107	0.216056	0.214011	0.212195	0.211856	0.210728	0.209294	0.20898	0.207861	0.20766	0.206582	0.205376	0.203032	0.202732	0.207304	0.199224	0.198716	0.197918	0.197192	0.196844	0.196593	0.196205	0.195706	0.194755	0.194352	0.197658	0.193154	0.192988	0.192628	0.192258	0.192233	0.191881	0.191701	0.191591	0.191554	0.191496	0.176819	0.156128	0.153313	0.146574	0.139018	0.13401	0.132551	0.128938	0.125787	0.123824	0.12164	0.118372	0.116553	0.113948	0.111298	0.109201	0.107182	0.104362	0.102995	0.10089	0.0985181	0.0969034	0.095281	0.0928331	0.0918177	0.0898415	0.0877697	0.0851366	0.0840682	0.0816689	0.0810135	0.0790922	0.0770014	0.0750236	0.0726451	0.0714383	0.0687031	0.0675425	0.0646067	0.0618457	0.064856	0.0593977	0.0583327	0.0570851	0.0563332	0.0541739	0.052547	0.0546196	0.05068	0.0498083	0.0486444	0.0468334	0.0453677	0.048593	0.043397	0.0428209	0.041909	0.0408373	0.0386582	0.0350773	0.0567652	0.033717	0.0333465	0.032544	0.0307693	0.027514	0.0321971	0.0847571	0.0222401	0.021995	0.0214213	0.0204109	0.0184755	0.0191511	0.0460899	0.0155791	0.0154421	0.0151171	0.0144569	0.0132152	0.0148206	0.0262554	0.0113572	0.011253	0.0110129	0.0105614	0.00995368	0.0111144	0.0100649	0.00926342	0.00919435	0.0090984	0.00893885	0.00859975	0.00877577	0.00858565	0.00845934	0.00828918	0.00825469	0.0081848	0.00802252	0.00770666	0.00721066	0.0102166	0.0127553	0.00636245	0.00630651	0.0061858	0.00591611	0.00547828	0.0055384	0.00581154	0.00511214	0.00509421	0.00504746	0.00490577	0.00462661	0.00441334	0.00704811	0.00421036	0.00419492	0.00416171	0.00409737	0.00398518	0.00380211	0.00706436	0.00394475	0.00337309	0.00337673	0.00333755	0.00325616	0.00311	0.00290472	0.00304438	0.00280898	0.00282673	0.00282499	0.00279705	0.0027322	0.00259912	0.00235027	

191	0.119	1	0	task-0:0.23	|	0.311439	0.250028	0.242585	0.235101	0.233172	0.229119	0.223256	0.217352	0.216076	0.212102	0.210823	0.20998	0.20869	0.207878	0.20713	0.20586	0.205485	0.204235	0.203047	0.202267	0.202092	0.201344	0.200484	0.198802	0.199019	0.201849	0.196184	0.19587	0.195282	0.194798	0.194575	0.194334	0.194092	0.193733	0.19304	0.193229	0.194209	0.19199	0.191888	0.191607	0.191401	0.191286	0.191174	0.19111	0.19099	0.190643	0.190126	0.190552	0.195687	0.189476	0.153529	0.145026	0.128718	0.111702	0.103688	0.0905131	0.0738557	0.0475724	0.0280366	0.163698	0.0199902	0.0167327	0.0153648	0.0139033	0.011886	0.0131914	0.0100751	0.00945157	0.00907204	0.00843597	0.00755276	0.00680086	0.00618068	0.00543015	0.0044749	0.00334375	0.00255042	0.00172842	

191	0.12	1	0	task-0:0.23	|	0.311439	0.250028	0.242585	0.235101	0.233172	0.229119	0.223256	0.217352	0.216076	0.212102	0.210823	0.20998	0.20869	0.207878	0.20713	0.20586	0.205485	0.204235	0.203047	0.202267	0.202092	0.201344	0.200484	0.198802	0.199019	0.201849	0.196184	0.19587	0.195282	0.194798	0.194575	0.194334	0.194092	0.193733	0.19304	0.193229	0.194209	0.19199	0.191888	0.191607	0.191401	0.191286	0.191174	0.19111	0.19099	0.190643	0.190126	0.190552	0.195687	0.189476	0.153529	0.145026	0.128718	0.111702	0.103688	0.0905131	0.0738557	0.0475724	0.0280366	0.163698	0.0199902	0.0167327	0.0153648	0.0139033	0.011886	0.0131914	0.0100751	0.00945157	0.00907204	0.00843597	0.00755276	0.00680086	0.00618068	0.00543015	0.0044749	0.00334375	0.00255042	0.00172842	

191	0.022	1	0	task-0:0.23	|	0.311439	0.250028	0.242585	0.235101	0.233172	0.229119	0.223256	0.217352	0.216076	0.212102	0.210823	0.20998	0.20869	0.207878	0.20713	0.20586	0.205485	0.204235	0.203047	0.202267	0.202092	0.201344	0.200484	0.198802	0.199019	0.201849	0.196184	0.19587	0.195282	0.194798	0.194575	0.194334	0.194092	0.193733	0.19304	0.193229	0.194209	0.19199	0.191888	0.191607	0.191401	0.191286	0.191174	0.19111	0.19099	0.190643	0.190126	0.190552	0.195687	0.189476	0.153529	0.145026	0.128718	0.111702	0.103688	0.0905131	0.0738557	0.0475724	0.0280366	0.163698	0.0199902	0.0167327	0.0153648	0.0139033	0.011886	0.0131914	0.0100751	0.00945157	0.00907204	0.00843597	0.00755276	0.00680086	0.00618068	0.00543015	0.0044749	0.00334375	0.00255042	0.00172842	

128	0.012	1	0	task-0:0.26	|	0.27101	0.2391	0.235866	0.229567	0.234356	0.225258	0.223073	0.220593	0.218157	0.213275	0.222513	0.210989	0.209762	0.208503	0.206717	0.205568	0.205295	0.203147	0.202485	0.201607	0.201509	0.200667	0.199911	0.198307	0.199178	0.19905	0.196101	0.19579	0.195438	0.195416	0.195026	0.194702	0.193968	0.193719	0.195343	0.192751	0.192539	0.192376	0.192123	0.191871	0.191351	0.190383	0.189967	0.226462	0.189115	0.189135	0.189081	0.188965	0.189227	0.188869	0.188906	0.188918	0.188853	0.188855	0.188772	0.188871	0.188809	0.170292	0.165476	0.154112	0.139163	0.130459	0.119663	0.115898	0.105831	0.094579	0.0782238	0.0937373	0.0894536	0.0613796	0.0569016	0.055901	0.0542913	0.0516061	0.0460703	0.0376624	0.0246491	0.0371198	0.119496	0.0178409	0.013835	0.0110687	0.0110585	0.0109866	0.0108344	0.0102271	0.0091689	0.00787661	0.00653545	0.0107893	0.00608385	0.00560661	0.00540227	0.00525099	0.00497289	0.00438347	0.00340874	0.00209797	

321	0.08	1	0	task-0:0.192	|	0.249591	0.243357	0.240309	0.232733	0.227976	0.225915	0.224261	0.221868	0.219491	0.216459	0.213685	0.213349	0.211242	0.209979	0.208492	0.206998	0.204055	0.205218	0.209049	0.199717	0.199199	0.198389	0.197751	0.197253	0.197074	0.196672	0.196174	0.195616	0.194593	0.192676	0.19835	0.209202	0.190704	0.19063	0.190406	0.190188	0.190645	0.190013	0.189996	0.189929	0.189725	0.18933	0.192252	0.189365	0.189276	0.181324	0.173969	0.172905	0.168586	0.166472	0.159354	0.149922	0.177969	0.143949	0.141318	0.13554	0.123007	0.0991522	0.0663306	0.0524733	0.421247	0.0937744	0.33021	0.249259	0.383089	0.152008	0.100942	0.0572968	0.0500043	0.0499213	0.0494104	0.0480621	0.0449851	0.0397948	0.0466408	0.109835	0.0357291	0.0354327	0.0346649	0.0344994	0.0340417	0.033537	0.0326496	0.0318873	0.0366726	0.0314544	0.0313016	0.0310273	0.0303781	0.0291997	0.0269804	0.0322956	0.0612658	0.0243019	0.0241785	0.0240134	0.0237187	0.0234466	0.0231984	0.0230853	0.0229938	0.022851	0.022735	0.0225639	0.0223907	0.0221842	0.0217787	0.0222468	0.0215947	0.0212704	0.0212114	0.0210746	0.0209102	0.0205782	0.0201808	0.0208521	0.0200112	0.0199322	0.0198657	0.019744	0.0196635	0.0195025	0.0193567	0.0193043	0.019207	0.0191283	0.0190277	0.0188065	0.018531	0.0190406	0.0183819	0.0183115	0.0181982	0.0180421	0.0178816	0.0178088	0.0177836	0.0176899	0.0176407	0.0175576	0.0174985	0.0173642	0.0173065	0.0171493	0.0168442	0.0169503	0.0170559	0.0164041	0.0163437	0.0162425	0.0160435	0.0160219	0.016118	0.0157211	0.0156662	0.0155692	0.0153674	0.0151639	0.0157559	0.0149944	0.0149333	0.0148251	0.0146834	0.0145663	0.0145045	0.0144525	0.0143337	0.0141357	0.0137301	0.0129467	0.0173796	0.0217268	0.011998	0.0119562	0.0118799	0.0117127	0.0113797	0.0108055	0.020605	0.01062	0.0105652	0.0105686	0.0105279	0.0104825	0.0104585	0.01045	0.0103944	0.0103371	0.0103061	0.0102892	0.0102153	0.0101457	0.0101042	0.0100251	0.00995224	0.00980775	0.00974017	0.010221	0.00955318	0.00951752	0.00945141	0.00937887	0.00927506	0.00927402	0.00923494	0.00917382	0.00914694	0.0091143	0.00902458	0.0089771	0.00888178	0.00887583	0.00880802	0.0087791	0.00874997	0.00871043	0.00862213	0.00860993	0.00859919	0.00855618	0.00846425	0.00830026	0.00797721	0.00784718	0.0177966	0.00738384	0.00735577	0.00730247	0.00726578	0.00719008	0.00722154	0.00717256	0.00714438	0.00710485	0.00710006	0.00705825	0.00701383	0.00699884	0.00697708	0.00691168	0.00679028	0.0068758	0.00672075	0.00667997	0.00667602	0.00664642	0.0065817	0.00645995	0.00669082	0.00643202	0.00632495	0.00631836	0.00628915	0.00622275	0.00608731	0.00582933	0.00742584	0.00647005	0.00555047	0.00554134	0.00551698	0.00544427	0.00536511	0.00520976	0.00491932	0.0105864	0.00491	0.0049	0.00487545	0.00482494	0.00473758	0.0045661	0.00424104	0.00366107	0.00471802	0.144696	0.00284423	0.00276672	0.00277797	0.00277358	0.00276176	0.00273826	0.00270997	0.00265491	0.00255259	0.00246716	
