52	0.015	1	0	task-0:0.034	|	0.260033	0.0165426	0.00011636	3.2336e-007	3.14226e-010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.019	1	0	task-0:0.034	|	0.0987604	0.00254852	1.81904e-005	5.46205e-008	5.39186e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.016	1	0	task-0:0.034	|	0.608297	0.229288	0.0383403	0.00105793	1.17837e-006	4.23051e-011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.015	1	0	task-0:0.034	|	0.114507	0.016232	0.00119468	1.13955e-005	4.62005e-009	1.79002e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

53	0.015	1	0	task-0:0.034	|	0.390539	0.0854604	0.00875149	0.000118631	7.77019e-008	4.38002e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.015	1	0	task-0:0.034	|	0.390136	0.0317179	0.000257092	7.57881e-007	7.44793e-010	1.85806e-013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

