51	0.049	8	task-0:0.035	|	0.480292	0.185753	0.174623	0.160303	0.160289	0.163915	0.163915	0.160674	0.160693	0.16069	0.159987	0.159976	0.160018	0.159957	0.159845	0.159686	0.159305	0.158373	0.156423	0.154445	0.153719	0.153735	0.153072	0.152107	0.151843	0.151808	0.151754	0.151802	0.152087	0.152744	0.15356	0.155433	0.154413	0.155553	0.153463	0.15148	0.151325	0.151295	0.151014	0.15035	0.149724	0.149139	0.148223	0.146981	0.145681	0.144255	0.142684	0.141018	0.139093	0.137121	0.135285	
53	0.046	8	task-0:0.035	|	0.281483	0.197858	0.196326	0.180869	0.169017	0.168971	0.163264	0.163264	0.159903	0.159901	0.160473	0.160471	0.159844	0.159994	0.159991	0.159776	0.159837	0.159818	0.159733	0.159746	0.15973	0.159671	0.159624	0.15958	0.159533	0.159469	0.159381	0.159266	0.159101	0.158857	0.158777	0.158471	0.158162	0.157883	0.157584	0.157324	0.157157	0.157194	0.157644	0.15751	0.1576	0.157733	0.157065	0.156513	0.155833	0.15524	0.154622	0.154086	0.153808	0.153866	0.153672	0.153352	0.153257	
53	0.052	8	task-0:0.035	|	0.259168	0.199573	0.199476	0.191504	0.16053	0.160412	0.169595	0.16946	0.16167	0.161196	0.161192	0.15984	0.159838	0.159946	0.159899	0.159714	0.159754	0.159698	0.159594	0.159571	0.159504	0.159383	0.159239	0.159065	0.158835	0.158534	0.158105	0.15742	0.156252	0.155507	0.155143	0.154845	0.154601	0.154418	0.154158	0.153612	0.152675	0.151696	0.151169	0.150304	0.149274	0.148022	0.147052	0.146276	0.145357	0.144441	0.143555	0.142704	0.14189	0.141231	0.140895	0.141215	0.142368	
53	0.053	8	task-0:0.035	|	0.198374	0.19942	0.199259	0.192778	0.160171	0.327764	0.315799	0.218661	0.162448	0.171172	0.171171	0.161536	0.165109	0.165108	0.159947	0.16232	0.162293	0.16024	0.160062	0.160031	0.159735	0.159674	0.159554	0.159406	0.159238	0.159012	0.158726	0.15838	0.158093	0.157713	0.157295	0.156857	0.156339	0.155873	0.155633	0.155294	0.154903	0.154717	0.154882	0.154614	0.154508	0.154437	0.154445	0.154474	0.154331	0.154006	0.153574	0.152599	0.151726	0.150567	0.148653	0.147855	0.146284	
55	0.054	8	task-0:0.035	|	0.162537	0.733583	0.700084	0.449933	0.183198	0.163002	0.160201	0.162529	0.162493	0.15998	0.160658	0.160657	0.159731	0.160056	0.160012	0.159644	0.159661	0.159583	0.159323	0.159041	0.158569	0.157764	0.156859	0.156593	0.155644	0.154972	0.154377	0.15355	0.152638	0.15177	0.151425	0.150814	0.150126	0.149686	0.149345	0.148581	0.147318	0.145773	0.14342	0.140164	0.137856	0.136586	0.135621	0.133943	0.132448	0.130795	0.129134	0.128019	0.126828	0.126215	0.12669	0.129823	0.127355	0.126637	0.1224	
53	0.054	8	task-0:0.035	|	0.187844	0.199963	0.199961	0.197417	0.162293	0.162177	0.177177	0.176912	0.162748	0.165249	0.165249	0.159492	0.164011	0.163966	0.160529	0.15965	0.159649	0.159556	0.159556	0.159457	0.159453	0.159438	0.159423	0.159406	0.159388	0.159364	0.159337	0.159304	0.159265	0.159215	0.159151	0.159068	0.158956	0.158822	0.158609	0.158271	0.157764	0.157037	0.156052	0.154757	0.153235	0.152619	0.151542	0.150433	0.149414	0.14838	0.14814	0.14854	0.148536	0.148522	0.148653	0.148631	0.148548	
55	0.056	8	task-0:0.035	|	0.160386	0.77279	0.765143	0.537599	0.187946	0.164033	0.163499	0.160125	0.160049	0.16073	0.160569	0.159847	0.160724	0.160697	0.159887	0.159775	0.159738	0.159638	0.15958	0.159448	0.159228	0.158894	0.158435	0.157906	0.157396	0.156942	0.156366	0.155695	0.154877	0.15424	0.153515	0.152607	0.151547	0.150602	0.149636	0.14849	0.14799	0.150724	0.176346	0.162926	0.159498	0.158984	0.149338	0.164	0.162682	0.151949	0.148799	0.148591	0.148505	0.151058	0.150331	0.150518	0.149032	0.148019	0.146868	
53	0.053	8	task-0:0.035	|	0.162599	0.199727	0.199492	0.191943	0.161625	0.161554	0.169565	0.1694	0.161256	0.163056	0.163056	0.16001	0.161642	0.161532	0.160106	0.16016	0.16016	0.159867	0.160158	0.160136	0.159899	0.159854	0.159846	0.159803	0.159793	0.159757	0.159726	0.159698	0.159659	0.159613	0.159562	0.159502	0.159429	0.159308	0.15905	0.158377	0.157891	0.157574	0.157205	0.156819	0.156454	0.156002	0.155505	0.15276	0.153159	0.148229	0.14368	0.141255	0.136627	0.134869	0.132418	0.13395	0.132634	
51	0.05	8	task-0:0.035	|	0.49522	0.186697	0.1837	0.160112	0.160472	0.166338	0.164723	0.159913	0.167566	0.166245	0.160415	0.160639	0.160625	0.159699	0.160698	0.160667	0.159787	0.159607	0.159559	0.159457	0.1594	0.159299	0.159202	0.159079	0.15893	0.158752	0.158545	0.158211	0.157955	0.157736	0.157524	0.157332	0.157181	0.157038	0.156768	0.156202	0.155872	0.155654	0.155263	0.154725	0.15412	0.153443	0.152684	0.151796	0.15073	0.149421	0.147827	0.146233	0.147557	0.146393	0.150143	
53	0.052	8	task-0:0.035	|	0.173009	0.199446	0.19929	0.19259	0.160283	0.160848	0.170122	0.16792	0.160044	0.170481	0.170474	0.161921	0.162021	0.162021	0.159705	0.159686	0.159422	0.159317	0.159157	0.158982	0.158636	0.158301	0.157983	0.157559	0.157149	0.156675	0.156341	0.156082	0.155617	0.155325	0.155193	0.154845	0.154428	0.154159	0.153652	0.152934	0.152009	0.150997	0.149825	0.147952	0.144986	0.142034	0.140231	0.138291	0.136127	0.13393	0.131251	0.128906	0.126179	0.122606	0.119346	0.117295	0.115158	
