2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.13284	0.03	
2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.775	task-2:0.035	|	0.0894183	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.109289	0.03	

2	0.032	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.544685	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.336361	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.805	task-1:0.225	task-2:0.035	|	0.963567	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.177235	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.35206	0.03	

2	0.016	48	0	task-3:0.05	task-0:0.195	task-1:0.225	task-2:0.035	|	0.0509896	0.03	

2	0.031	48	0	task-3:0.05	task-0:0.195	task-1:0.775	task-2:0.035	|	0.768839	0.03	

