57	0.015	1	0	task-0:0.47	|	0.425381	0.233013	0.249651	0.244212	0.222734	0.242234	0.242054	0.224379	0.223583	0.223394	0.220815	0.223049	0.22146	0.217466	0.215444	0.213941	0.212347	0.21102	0.208948	0.206628	0.205381	0.204883	0.204671	0.204928	0.205315	0.206089	0.206977	0.207782	0.208426	0.208868	0.209187	0.209494	0.209948	0.210728	0.212031	0.214128	0.216154	0.218144	0.219966	0.221307	0.222055	0.222299	0.222331	0.222283	0.22222	0.222186	0.222229	0.22225	0.222228	0.222226	0.222226	0.222222	0.222222	0.222223	0.222223	0.222222	0.222222	

61	0.016	1	0	task-0:0.47	|	0.232272	0.27413	0.260106	0.211772	0.233739	0.225967	0.201503	0.209488	0.205366	0.196571	0.194279	0.191142	0.188243	0.184951	0.180411	0.17537	0.170179	0.164368	0.158373	0.154568	0.151875	0.152067	0.154555	0.155917	0.157589	0.160477	0.164987	0.171245	0.175688	0.176415	0.18028	0.181803	0.185084	0.18894	0.193375	0.196693	0.197133	0.197832	0.197832	0.196983	0.196185	0.195795	0.194997	0.194535	0.193809	0.192952	0.192536	0.191792	0.191412	0.190749	0.18996	0.189559	0.189298	0.189164	0.189098	0.188809	0.188612	0.188355	0.188237	0.188082	0.187923	

53	0.016	1	0	task-0:0.47	|	0.306349	0.222959	0.222933	0.229696	0.229633	0.222535	0.223124	0.22266	0.220824	0.222175	0.221831	0.219694	0.217455	0.216353	0.216336	0.21721	0.216766	0.215571	0.215459	0.215943	0.216333	0.216322	0.216147	0.216035	0.21641	0.21711	0.217842	0.218657	0.219537	0.220385	0.221103	0.22163	0.221957	0.222123	0.22219	0.222209	0.222222	0.222224	0.222224	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	

61	0.015	1	0	task-0:0.47	|	0.227774	0.281822	0.276695	0.218825	0.239079	0.239079	0.212615	0.216005	0.212945	0.206091	0.206458	0.203381	0.198408	0.195376	0.191519	0.186428	0.181301	0.172706	0.16504	0.160506	0.157304	0.155276	0.154637	0.1554	0.157542	0.159229	0.160721	0.16303	0.165974	0.169637	0.174414	0.181148	0.185717	0.18602	0.190015	0.190015	0.186471	0.186245	0.186245	0.185871	0.18672	0.18672	0.186105	0.185421	0.185255	0.185446	0.18529	0.185085	0.184762	0.184375	0.183916	0.183365	0.183129	0.18267	0.182374	0.182178	0.181967	0.181789	0.181631	0.181441	0.181314	

56	0.015	1	0	task-0:0.47	|	0.243544	0.276328	0.276328	0.230686	0.260002	0.260002	0.224889	0.234145	0.233676	0.223259	0.226902	0.226902	0.222408	0.223672	0.223541	0.222004	0.222499	0.222429	0.221607	0.221218	0.22087	0.220392	0.219683	0.218591	0.216951	0.21453	0.211205	0.207242	0.202803	0.197825	0.192887	0.188599	0.185537	0.182849	0.179664	0.175748	0.171759	0.167896	0.162704	0.160516	0.15888	0.158113	0.158363	0.160437	0.162528	0.165527	0.169829	0.177211	0.186254	0.187265	0.18945	0.193278	0.195583	0.196092	0.196464	0.196166	

61	0.016	1	0	task-0:0.47	|	0.234681	0.287791	0.287791	0.239022	0.247283	0.247283	0.22369	0.242004	0.240751	0.225679	0.222697	0.22216	0.218391	0.218324	0.215436	0.212496	0.21032	0.206983	0.203363	0.199923	0.197135	0.194711	0.19286	0.19031	0.187068	0.183678	0.178521	0.173517	0.169415	0.166192	0.162845	0.160587	0.161168	0.161073	0.160206	0.160423	0.160929	0.161771	0.162753	0.164194	0.166529	0.169716	0.173909	0.178673	0.17927	0.182187	0.185611	0.18683	0.18919	0.19185	0.193236	0.195385	0.194702	0.195174	0.194434	0.194112	0.194107	0.193279	0.191953	0.190465	0.188865	

57	0.016	1	0	task-0:0.47	|	0.425381	0.233013	0.249651	0.244212	0.222734	0.242234	0.242054	0.224379	0.223583	0.223394	0.220815	0.223049	0.22146	0.217466	0.215444	0.213941	0.212347	0.21102	0.208948	0.206628	0.205381	0.204883	0.204671	0.204928	0.205315	0.206089	0.206977	0.207782	0.208426	0.208868	0.209187	0.209494	0.209948	0.210728	0.212031	0.214128	0.216154	0.218144	0.219966	0.221307	0.222055	0.222299	0.222331	0.222283	0.22222	0.222186	0.222229	0.22225	0.222228	0.222226	0.222226	0.222222	0.222222	0.222223	0.222223	0.222222	0.222222	

86	0.031	1	0	task-0:0.47	|	0.246307	0.282288	0.282288	0.233699	0.262524	0.262524	0.227202	0.236238	0.235199	0.224367	0.229267	0.229267	0.223963	0.224416	0.224144	0.222872	0.222787	0.222188	0.221396	0.220624	0.219646	0.218408	0.216893	0.215075	0.212813	0.210077	0.206695	0.202885	0.198696	0.194515	0.190722	0.187701	0.183779	0.179683	0.17525	0.170588	0.165861	0.161282	0.161359	0.160098	0.157595	0.156598	0.157558	0.159152	0.161873	0.166918	0.164779	0.169826	0.177157	0.18619	0.193358	0.193684	0.197945	0.197945	0.193523	0.194149	0.194149	0.193159	0.193782	0.193782	0.193197	0.193753	0.19402	0.194661	0.195432	0.195922	0.196072	0.195841	0.195733	0.195727	0.195765	0.195763	0.195737	0.195639	0.195603	0.195608	0.195611	0.195547	0.195499	0.19549	0.195461	0.195427	0.195392	0.195352	0.195301	0.195241	

61	0.016	1	0	task-0:0.47	|	0.227774	0.281822	0.276695	0.218825	0.239079	0.239079	0.212615	0.216005	0.212945	0.206091	0.206458	0.203381	0.198408	0.195376	0.191519	0.186428	0.181301	0.172706	0.16504	0.160506	0.157304	0.155276	0.154637	0.1554	0.157542	0.159229	0.160721	0.16303	0.165974	0.169637	0.174414	0.181148	0.185717	0.18602	0.190015	0.190015	0.186471	0.186245	0.186245	0.185871	0.18672	0.18672	0.186105	0.185421	0.185255	0.185446	0.18529	0.185085	0.184762	0.184375	0.183916	0.183365	0.183129	0.18267	0.182374	0.182178	0.181967	0.181789	0.181631	0.181441	0.181314	

55	0.015	1	0	task-0:0.47	|	0.223387	0.280629	0.272539	0.216581	0.212566	0.207115	0.199048	0.19701	0.187608	0.180628	0.175057	0.169084	0.164229	0.160872	0.160409	0.163395	0.163951	0.164436	0.166543	0.169837	0.173466	0.172648	0.175145	0.178575	0.180172	0.183417	0.187212	0.1877	0.188986	0.189538	0.190094	0.191153	0.191526	0.191879	0.192071	0.192257	0.192356	0.192391	0.1924	0.192427	0.192462	0.192506	0.192562	0.192635	0.192836	0.19304	0.193217	0.193239	0.193418	0.193588	0.193639	0.193751	0.193895	0.193966	0.194005	

67	0.031	1	0	task-0:0.47	|	0.234525	0.249159	0.247839	0.227965	0.225156	0.225148	0.222437	0.222437	0.222517	0.222271	0.22177	0.221705	0.22164	0.219734	0.206197	0.186964	0.181664	0.19558	0.191878	0.184763	0.182876	0.186125	0.18936	0.193195	0.19708	0.200723	0.202228	0.204307	0.205964	0.207088	0.207745	0.20816	0.208341	0.209516	0.214642	0.216058	0.216015	0.216222	0.216667	0.217325	0.218042	0.218103	0.220834	0.221453	0.221827	0.222018	0.222095	0.222124	0.222132	0.222125	0.222091	0.221977	0.221575	0.219702	0.221443	0.221374	0.221007	0.219913	0.216486	0.220272	0.220442	0.220213	0.219317	0.216817	0.220478	0.220842	0.220872	

70	0.016	1	0	task-0:0.47	|	0.382663	0.237554	0.242881	0.239171	0.222156	0.249572	0.249336	0.227316	0.222116	0.221899	0.221424	0.221058	0.220049	0.219106	0.217696	0.215669	0.212503	0.20798	0.201878	0.194767	0.193452	0.195611	0.196066	0.196291	0.197921	0.200061	0.202144	0.204038	0.205625	0.207179	0.207888	0.208215	0.208312	0.20835	0.208611	0.210421	0.21502	0.218081	0.220123	0.221626	0.222448	0.222687	0.222676	0.222561	0.222412	0.222276	0.222196	0.22223	0.222252	0.222226	0.222233	0.222233	0.222223	0.222228	0.222228	0.222223	0.222223	0.222223	0.222222	0.222223	0.222223	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222087	0.213032	

57	0.016	1	0	task-0:0.47	|	0.425381	0.233013	0.249651	0.244212	0.222734	0.242234	0.242054	0.224379	0.223583	0.223394	0.220815	0.223049	0.22146	0.217466	0.215444	0.213941	0.212347	0.21102	0.208948	0.206628	0.205381	0.204883	0.204671	0.204928	0.205315	0.206089	0.206977	0.207782	0.208426	0.208868	0.209187	0.209494	0.209948	0.210728	0.212031	0.214128	0.216154	0.218144	0.219966	0.221307	0.222055	0.222299	0.222331	0.222283	0.22222	0.222186	0.222229	0.22225	0.222228	0.222226	0.222226	0.222222	0.222222	0.222223	0.222223	0.222222	0.222222	

