54	0.031	1	0	task-0:0.47	|	0.272136	0.224519	0.223731	0.227822	0.227824	0.222468	0.224511	0.224487	0.222454	0.22272	0.22272	0.222184	0.222591	0.222593	0.222256	0.222213	0.222218	0.222201	0.222207	0.22221	0.222215	0.222217	0.22222	0.222221	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222222	0.222215	0.222083	0.216935	0.220176	0.22216	0.222201	0.222198	0.222186	0.222149	0.222014	0.221351	0.217096	0.220344	0.222087	0.22218	0.222194	0.2222	
75	0.016	1	0	task-0:0.47	|	0.272888	0.260563	0.260563	0.224484	0.286859	0.28487	0.233262	0.226399	0.226399	0.222972	0.222958	0.223046	0.222963	0.222595	0.22267	0.222705	0.222612	0.221462	0.217452	0.210027	0.202471	0.19766	0.195426	0.194067	0.192789	0.191559	0.189012	0.185477	0.182001	0.178078	0.173627	0.16877	0.163645	0.159405	0.157378	0.154075	0.150609	0.14935	0.150266	0.149973	0.14796	0.14799	0.148484	0.149271	0.149852	0.150883	0.152223	0.154156	0.156909	0.160947	0.166551	0.174243	0.184614	0.188965	0.191838	0.19335	0.196703	0.198742	0.199253	0.198707	0.197084	0.194561	0.191575	0.18898	0.187746	0.186969	0.18785	0.18785	0.187138	0.186768	0.186675	0.18672	0.18662	0.186379	0.1861	

75	0.031	1	0	task-0:0.47	|	0.272888	0.260563	0.260563	0.224484	0.286859	0.28487	0.233262	0.226399	0.226399	0.222972	0.222958	0.223046	0.222963	0.222595	0.22267	0.222705	0.222612	0.221462	0.217452	0.210027	0.202471	0.19766	0.195426	0.194067	0.192789	0.191559	0.189012	0.185477	0.182001	0.178078	0.173627	0.16877	0.163645	0.159405	0.157378	0.154075	0.150609	0.14935	0.150266	0.149973	0.14796	0.14799	0.148484	0.149271	0.149852	0.150883	0.152223	0.154156	0.156909	0.160947	0.166551	0.174243	0.184614	0.188965	0.191838	0.19335	0.196703	0.198742	0.199253	0.198707	0.197084	0.194561	0.191575	0.18898	0.187746	0.186969	0.18785	0.18785	0.187138	0.186768	0.186675	0.18672	0.18662	0.186379	0.1861	

75	0.031	1	0	task-0:0.47	|	0.272888	0.260563	0.260563	0.224484	0.286859	0.28487	0.233262	0.226399	0.226399	0.222972	0.222958	0.223046	0.222963	0.222595	0.22267	0.222705	0.222612	0.221462	0.217452	0.210027	0.202471	0.19766	0.195426	0.194067	0.192789	0.191559	0.189012	0.185477	0.182001	0.178078	0.173627	0.16877	0.163645	0.159405	0.157378	0.154075	0.150609	0.14935	0.150266	0.149973	0.14796	0.14799	0.148484	0.149271	0.149852	0.150883	0.152223	0.154156	0.156909	0.160947	0.166551	0.174243	0.184614	0.188965	0.191838	0.19335	0.196703	0.198742	0.199253	0.198707	0.197084	0.194561	0.191575	0.18898	0.187746	0.186969	0.18785	0.18785	0.187138	0.186768	0.186675	0.18672	0.18662	0.186379	0.1861	

60	0.032	1	0	task-0:0.47	|	0.31615	0.223726	0.222721	0.230907	0.230901	0.223339	0.223318	0.223318	0.222223	0.223855	0.223855	0.222606	0.222244	0.222244	0.222276	0.222276	0.222224	0.222256	0.222255	0.222204	0.221802	0.214282	0.209761	0.209513	0.214969	0.21894	0.218009	0.215728	0.21163	0.216527	0.216935	0.216511	0.214943	0.211884	0.217087	0.218009	0.218246	0.217746	0.216127	0.21981	0.220485	0.220778	0.220778	0.220421	0.219364	0.216553	0.220069	0.220361	0.220296	0.219809	0.218461	0.215123	0.219551	0.22002	0.220056	0.219581	0.218142	0.214552	0.219351	0.219844	

60	0.015	1	0	task-0:0.47	|	0.31615	0.223726	0.222721	0.230907	0.230901	0.223339	0.223318	0.223318	0.222223	0.223855	0.223855	0.222606	0.222244	0.222244	0.222276	0.222276	0.222224	0.222256	0.222255	0.222204	0.221802	0.214282	0.209761	0.209513	0.214969	0.21894	0.218009	0.215728	0.21163	0.216527	0.216935	0.216511	0.214943	0.211884	0.217087	0.218009	0.218246	0.217746	0.216127	0.21981	0.220485	0.220778	0.220778	0.220421	0.219364	0.216553	0.220069	0.220361	0.220296	0.219809	0.218461	0.215123	0.219551	0.22002	0.220056	0.219581	0.218142	0.214552	0.219351	0.219844	

