52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.063333	0.00549822	1.29555e-005	2.02594e-008	2.89121e-012	0	0	0	0	0	0	0	0	0	5.95808e-015	0	0	0	0	0	1.108e-014	0	0	8.69767e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0555124	0.00372949	2.04722e-005	5.03309e-007	5.85575e-008	2.8951e-010	2.08257e-014	0	0	0	0	4.11988e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.812	|	0.00878171	4.91327e-005	2.48159e-006	2.77535e-008	3.99274e-011	0	0	0	1.9087e-014	0	4.41146e-015	0	0	2.23182e-015	0	0	0	0	0	0	2.87707e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

52	0.078	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0363748	0.00249731	1.36626e-005	1.17088e-007	7.16049e-011	0	0	0	7.47797e-015	0	0	0	0	0	2.3737e-015	0	0	0	3.86766e-015	0	0	4.76048e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.00334319	5.14285e-005	7.79431e-007	7.53021e-009	9.61107e-011	6.1785e-014	0	0	0	0	0	0	0	0	0	4.15283e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.42641e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.062	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0160579	0.000112343	1.7587e-007	5.91277e-009	5.59322e-012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.58772e-015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

51	0.063	4	0	task-3:0.198	task-0:0.034	task-1:0.052	task-2:0.188	|	0.0137652	0.000162403	8.20533e-007	8.75409e-009	4.38546e-010	8.7092e-013	0	0	0	0	0	9.03214e-015	0	0	1.17441e-014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	

