101	0	1	0	task-0:0.25	|	0.226179	0.22193	0.221493	0.220146	0.218018	0.214561	0.226286	0.213536	0.212951	0.211757	0.209526	0.210745	0.209516	0.207146	0.206915	0.206129	0.205147	0.20399	0.206493	0.203469	0.203109	0.202761	0.202081	0.202699	0.202219	0.201186	0.200931	0.20063	0.200168	0.199981	0.199826	0.199571	0.19948	0.199283	0.173426	0.163573	0.146357	0.13185	0.123835	0.105569	0.0775971	0.0437215	0.0313746	0.0331836	0.0243537	0.0215277	0.0197868	0.018662	0.0164142	0.0125086	0.00741023	0.00340928	0.00672672	0.00257461	0.00216756	

101	0.047	1	0	task-0:0.25	|	0.226179	0.22193	0.221493	0.220146	0.218018	0.214561	0.226286	0.213536	0.212951	0.211757	0.209526	0.210745	0.209516	0.207146	0.206915	0.206129	0.205147	0.20399	0.206493	0.203469	0.203109	0.202761	0.202081	0.202699	0.202219	0.201186	0.200931	0.20063	0.200168	0.199981	0.199826	0.199571	0.19948	0.199283	0.173426	0.163573	0.146357	0.13185	0.123835	0.105569	0.0775971	0.0437215	0.0313746	0.0331836	0.0243537	0.0215277	0.0197868	0.018662	0.0164142	0.0125086	0.00741023	0.00340928	0.00672672	0.00257461	0.00216756	

101	0	1	0	task-0:0.25	|	0.226179	0.22193	0.221493	0.220146	0.218018	0.214561	0.226286	0.213536	0.212951	0.211757	0.209526	0.210745	0.209516	0.207146	0.206915	0.206129	0.205147	0.20399	0.206493	0.203469	0.203109	0.202761	0.202081	0.202699	0.202219	0.201186	0.200931	0.20063	0.200168	0.199981	0.199826	0.199571	0.19948	0.199283	0.173426	0.163573	0.146357	0.13185	0.123835	0.105569	0.0775971	0.0437215	0.0313746	0.0331836	0.0243537	0.0215277	0.0197868	0.018662	0.0164142	0.0125086	0.00741023	0.00340928	0.00672672	0.00257461	0.00216756	

101	0	1	0	task-0:0.25	|	0.226179	0.22193	0.221493	0.220146	0.218018	0.214561	0.226286	0.213536	0.212951	0.211757	0.209526	0.210745	0.209516	0.207146	0.206915	0.206129	0.205147	0.20399	0.206493	0.203469	0.203109	0.202761	0.202081	0.202699	0.202219	0.201186	0.200931	0.20063	0.200168	0.199981	0.199826	0.199571	0.19948	0.199283	0.173426	0.163573	0.146357	0.13185	0.123835	0.105569	0.0775971	0.0437215	0.0313746	0.0331836	0.0243537	0.0215277	0.0197868	0.018662	0.0164142	0.0125086	0.00741023	0.00340928	0.00672672	0.00257461	0.00216756	

101	0.047	1	0	task-0:0.25	|	0.226179	0.22193	0.221493	0.220146	0.218018	0.214561	0.226286	0.213536	0.212951	0.211757	0.209526	0.210745	0.209516	0.207146	0.206915	0.206129	0.205147	0.20399	0.206493	0.203469	0.203109	0.202761	0.202081	0.202699	0.202219	0.201186	0.200931	0.20063	0.200168	0.199981	0.199826	0.199571	0.19948	0.199283	0.173426	0.163573	0.146357	0.13185	0.123835	0.105569	0.0775971	0.0437215	0.0313746	0.0331836	0.0243537	0.0215277	0.0197868	0.018662	0.0164142	0.0125086	0.00741023	0.00340928	0.00672672	0.00257461	0.00216756	

