40	0.094	16	0	task-3:0.47	task-0:0.378	task-1:0.25	task-2:0.52	|	0.0673154	0.0999527	0.0998674	0.0922318	0.0571846	0.0611638	0.054156	0.0543424	0.0562367	0.0575566	0.0564979	0.0548637	0.0547921	0.0549118	0.0546122	0.0548414	0.054977	0.0553204	0.0577051	0.0581896	0.0572017	0.074434	0.0582175	0.0534052	0.0537142	0.0517808	0.0482639	0.0518895	0.0492989	0.0451876	0.0452673	0.0440627	0.0429408	0.0430149	0.0424006	0.0417355	0.0410328	0.0405801	0.0403546	0.0398241	
45	0.078	16	0	task-3:0.422	task-0:0.362	task-1:0.372	task-2:0.428	|	0.0627362	0.0999162	0.0996171	0.0732705	0.0889823	0.0885293	0.0572362	0.0669808	0.0659339	0.0558894	0.056245	0.056453	0.0543348	0.0558712	0.055273	0.0541016	0.0544963	0.054484	0.0540932	0.0541725	0.0541233	0.0540049	0.0540283	0.0540799	0.0543124	0.0552439	0.0546188	0.0534762	0.0525215	0.0517609	0.0512576	0.0505409	0.0499845	0.0496679	0.0514619	0.0482195	0.0496825	0.0490466	0.0463706	0.0454555	0.0431635	0.0419664	0.041432	0.0400841	0.0394447	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.031	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.046	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

24	0.047	16	0	task-3:0.446	task-0:0.276	task-1:0.574	task-2:0.466	|	0.0559779	0.0999909	0.0999704	0.0945991	0.0606384	0.059887	0.0543109	0.0609334	0.0615861	0.0557147	0.0552599	0.0552779	0.0545512	0.0552003	0.0549882	0.0544919	0.054684	0.0549356	0.0554234	0.0553254	0.0475196	0.0447112	0.0427756	0.0398908	

